annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
🧠 ML Signal: Importing specific functions or classes indicates usage patterns and dependencies,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 393, 6097, 9217, 8748, 7572, 290, 20086]",1.0,0,ml_signal,2,Importing specific functions or classes indicates usage patterns and dependencies,,0,,[]
🧠 ML Signal: Importing specific functions or classes indicates usage patterns and dependencies,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 393, 6097, 9217, 8748, 7572, 290, 20086]",1.0,11,ml_signal,4,Importing specific functions or classes indicates usage patterns and dependencies,,0,from zvt.contract.recorder import Recorder,"[6738, 1976, 36540, 13, 28484, 13, 8344, 2875, 1330, 3311, 2875]"
🧠 ML Signal: Importing specific functions or classes indicates usage patterns and dependencies,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 393, 6097, 9217, 8748, 7572, 290, 20086]",1.0,24,ml_signal,6,Importing specific functions or classes indicates usage patterns and dependencies,,11,from zvt.recorders.wb import wb_api,"[6738, 1976, 36540, 13, 8344, 6361, 13, 39346, 1330, 266, 65, 62, 15042]"
🧠 ML Signal: Importing specific functions or classes indicates usage patterns and dependencies,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 393, 6097, 9217, 8748, 7572, 290, 20086]",1.0,24,ml_signal,8,Importing specific functions or classes indicates usage patterns and dependencies,,24,,[]
✅ Best Practice: Class should have a docstring explaining its purpose and usage,"[26486, 227, 6705, 19939, 25, 5016, 815, 423, 257, 2205, 8841, 11170, 663, 4007, 290, 8748]",1.0,37,best_practice,5,Class should have a docstring explaining its purpose and usage,,24,from zvt.domain.meta.country_meta import Country,"[6738, 1976, 36540, 13, 27830, 13, 28961, 13, 19315, 62, 28961, 1330, 12946]"
✅ Best Practice: Class attributes should have comments or docstrings explaining their purpose,"[26486, 227, 6705, 19939, 25, 5016, 12608, 815, 423, 3651, 393, 2205, 37336, 11170, 511, 4007]",1.0,37,best_practice,7,Class attributes should have comments or docstrings explaining their purpose,,37,,[]
✅ Best Practice: Class attributes should have comments or docstrings explaining their purpose,"[26486, 227, 6705, 19939, 25, 5016, 12608, 815, 423, 3651, 393, 2205, 37336, 11170, 511, 4007]",1.0,48,best_practice,9,Class attributes should have comments or docstrings explaining their purpose,,37,class WBCountryRecorder(Recorder):,"[4871, 370, 2749, 608, 563, 6690, 2875, 7, 6690, 2875, 2599]"
"🧠 ML Signal: Method that interacts with external API and database, useful for learning data flow patterns","[8582, 100, 254, 10373, 26484, 25, 11789, 326, 44020, 351, 7097, 7824, 290, 6831, 11, 4465, 329, 4673, 1366, 5202, 7572]",1.0,59,ml_signal,9,"Method that interacts with external API and database, useful for learning data flow patterns",,48,class WBCountryRecorder(Recorder):,"[4871, 370, 2749, 608, 563, 6690, 2875, 7, 6690, 2875, 2599]"
🧠 ML Signal: Data transformation and storage pattern,"[8582, 100, 254, 10373, 26484, 25, 6060, 13389, 290, 6143, 3912]",0.5,68,ml_signal,11,Data transformation and storage pattern,,59,    data_schema = Country,"[220, 220, 220, 1366, 62, 15952, 2611, 796, 12946]"
⚠️ SAST Risk (Low): Potential risk if df contains sensitive data and is not handled securely,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 2526, 611, 47764, 4909, 8564, 1366, 290, 318, 407, 12118, 30835]",1.0,68,sast_risk,12,Potential risk if df contains sensitive data and is not handled securely,Low,68,,[]
✅ Best Practice: Standard Python entry point check,"[26486, 227, 6705, 19939, 25, 8997, 11361, 5726, 966, 2198]",0.5,87,best_practice,14,Standard Python entry point check,,68,        df = wb_api.get_countries(),"[220, 220, 220, 220, 220, 220, 220, 47764, 796, 266, 65, 62, 15042, 13, 1136, 62, 9127, 1678, 3419]"
🧠 ML Signal: Object instantiation and method call pattern,"[8582, 100, 254, 10373, 26484, 25, 9515, 9113, 3920, 290, 2446, 869, 3912]",0.5,106,ml_signal,14,Object instantiation and method call pattern,,87,        df = wb_api.get_countries(),"[220, 220, 220, 220, 220, 220, 220, 47764, 796, 266, 65, 62, 15042, 13, 1136, 62, 9127, 1678, 3419]"
🧠 ML Signal: Execution of a class method,"[8582, 100, 254, 10373, 26484, 25, 37497, 286, 257, 1398, 2446]",0.5,125,ml_signal,14,Execution of a class method,,106,        df = wb_api.get_countries(),"[220, 220, 220, 220, 220, 220, 220, 47764, 796, 266, 65, 62, 15042, 13, 1136, 62, 9127, 1678, 3419]"
✅ Best Practice: Use of __all__ to define public API of the module,"[26486, 227, 6705, 19939, 25, 5765, 286, 11593, 439, 834, 284, 8160, 1171, 7824, 286, 262, 8265]",1.0,144,best_practice,14,Use of __all__ to define public API of the module,,125,        df = wb_api.get_countries(),"[220, 220, 220, 220, 220, 220, 220, 47764, 796, 266, 65, 62, 15042, 13, 1136, 62, 9127, 1678, 3419]"
