annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
"✅ Best Practice: Grouping imports into standard library, third-party, and local can improve readability.","[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 656, 3210, 5888, 11, 2368, 12, 10608, 11, 290, 1957, 460, 2987, 1100, 1799, 13]",1.0,0,best_practice,3,"Grouping imports into standard library, third-party, and local can improve readability.",,0,,[]
🧠 ML Signal: Inheritance from TimestampsDataRecorder indicates a pattern of extending functionality,"[8582, 100, 254, 10373, 26484, 25, 47025, 42942, 422, 5045, 395, 9430, 6601, 6690, 2875, 9217, 257, 3912, 286, 16610, 11244]",0.5,19,ml_signal,11,Inheritance from TimestampsDataRecorder indicates a pattern of extending functionality,,0,from zvt.domain.actor.stock_actor import StockInstitutionalInvestorHolder,"[6738, 1976, 36540, 13, 27830, 13, 11218, 13, 13578, 62, 11218, 1330, 10500, 6310, 5677, 19070, 273, 39, 19892]"
✅ Best Practice: Class definition should include a docstring to describe its purpose and usage,"[26486, 227, 6705, 19939, 25, 5016, 6770, 815, 2291, 257, 2205, 8841, 284, 6901, 663, 4007, 290, 8748]",0.5,57,best_practice,12,Class definition should include a docstring to describe its purpose and usage,,19,"from zvt.recorders.em.em_api import get_ii_holder_report_dates, get_ii_holder, actor_type_to_org_type","[6738, 1976, 36540, 13, 8344, 6361, 13, 368, 13, 368, 62, 15042, 1330, 651, 62, 4178, 62, 13829, 62, 13116, 62, 19581, 11, 651, 62, 4178, 62, 13829, 11, 8674, 62, 4906, 62, 1462, 62, 2398, 62, 4906]"
"🧠 ML Signal: Class attributes define configuration or metadata, useful for pattern recognition","[8582, 100, 254, 10373, 26484, 25, 5016, 12608, 8160, 8398, 393, 20150, 11, 4465, 329, 3912, 9465]",0.5,57,ml_signal,14,"Class attributes define configuration or metadata, useful for pattern recognition",,57,,[]
🧠 ML Signal: Association with a specific schema (Stock) indicates a pattern of data handling,"[8582, 100, 254, 10373, 26484, 25, 5396, 351, 257, 2176, 32815, 357, 26207, 8, 9217, 257, 3912, 286, 1366, 9041]",0.5,78,ml_signal,16,Association with a specific schema (Stock) indicates a pattern of data handling,,57,"# {'END_DATE': '2021-03-31 00:00:00',","[2, 1391, 6, 10619, 62, 35, 6158, 10354, 705, 1238, 2481, 12, 3070, 12, 3132, 3571, 25, 405, 25, 405, 3256]"
"🧠 ML Signal: Class attributes define configuration or metadata, useful for pattern recognition","[8582, 100, 254, 10373, 26484, 25, 5016, 12608, 8160, 8398, 393, 20150, 11, 4465, 329, 3912, 9465]",0.5,96,ml_signal,18,"Class attributes define configuration or metadata, useful for pattern recognition",,78,"#   'HOLDER_CODE_OLD': '80010104',","[2, 220, 220, 705, 39, 3535, 14418, 62, 34, 16820, 62, 15173, 10354, 705, 7410, 8784, 3023, 3256]"
🧠 ML Signal: Association with a specific schema (StockInstitutionalInvestorHolder) indicates a pattern of data handling,"[8582, 100, 254, 10373, 26484, 25, 5396, 351, 257, 2176, 32815, 357, 26207, 6310, 5677, 19070, 273, 39, 19892, 8, 9217, 257, 3912, 286, 1366, 9041]",0.5,109,ml_signal,20,Association with a specific schema (StockInstitutionalInvestorHolder) indicates a pattern of data handling,,96,"#   'HOLDER_RANK': 1,","[2, 220, 220, 705, 39, 3535, 14418, 62, 49, 15154, 10354, 352, 11]"
✅ Best Practice: Specify the return type for better readability and maintainability,"[26486, 227, 6705, 19939, 25, 18291, 1958, 262, 1441, 2099, 329, 1365, 1100, 1799, 290, 5529, 1799]",0.5,130,best_practice,16,Specify the return type for better readability and maintainability,,109,"# {'END_DATE': '2021-03-31 00:00:00',","[2, 1391, 6, 10619, 62, 35, 6158, 10354, 705, 1238, 2481, 12, 3070, 12, 3132, 3571, 25, 405, 25, 405, 3256]"
🧠 ML Signal: Usage of external function get_ii_holder_report_dates,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 7097, 2163, 651, 62, 4178, 62, 13829, 62, 13116, 62, 19581]",1.0,148,ml_signal,18,Usage of external function get_ii_holder_report_dates,,130,"#   'HOLDER_CODE_OLD': '80010104',","[2, 220, 220, 705, 39, 3535, 14418, 62, 34, 16820, 62, 15173, 10354, 705, 7410, 8784, 3023, 3256]"
🧠 ML Signal: List comprehension pattern,"[8582, 100, 254, 10373, 26484, 25, 7343, 35915, 3912]",1.0,162,ml_signal,21,List comprehension pattern,,148,"#   'HOLD_NUM': 1938664086,","[2, 220, 220, 705, 39, 15173, 62, 41359, 10354, 28017, 2791, 1821, 4521, 11]"
