annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Use of relative imports for internal modules ensures module hierarchy is maintained.,"[26486, 227, 6705, 19939, 25, 5765, 286, 3585, 17944, 329, 5387, 13103, 19047, 8265, 18911, 318, 9456, 13]",0.5,5,best_practice,5,Use of relative imports for internal modules ensures module hierarchy is maintained.,,0,from enum import Enum,"[6738, 33829, 1330, 2039, 388]"
"✅ Best Practice: Enum class is used for creating enumerations which are a set of symbolic names bound to unique, constant values.","[26486, 227, 6705, 19939, 25, 2039, 388, 1398, 318, 973, 329, 4441, 27056, 602, 543, 389, 257, 900, 286, 18975, 3891, 5421, 284, 3748, 11, 6937, 3815, 13]",0.5,11,best_practice,7,"Enum class is used for creating enumerations which are a set of symbolic names bound to unique, constant values.",,5,from .locale import _,"[6738, 764, 17946, 1000, 1330, 4808]"
🧠 ML Signal: Enum members can be used to identify different order types in trading data.,"[8582, 100, 254, 10373, 26484, 25, 2039, 388, 1866, 460, 307, 973, 284, 5911, 1180, 1502, 3858, 287, 7313, 1366, 13]",0.5,17,ml_signal,10,Enum members can be used to identify different order types in trading data.,,11,class Direction(Enum):,"[4871, 41837, 7, 4834, 388, 2599]"
🧠 ML Signal: Enum members can be used to identify different order types in trading data.,"[8582, 100, 254, 10373, 26484, 25, 2039, 388, 1866, 460, 307, 973, 284, 5911, 1180, 1502, 3858, 287, 7313, 1366, 13]",0.5,28,ml_signal,12,Enum members can be used to identify different order types in trading data.,,17,    Direction of order/trade/position.,"[220, 220, 220, 41837, 286, 1502, 14, 25351, 14, 9150, 13]"
🧠 ML Signal: Enum members can be used to identify different order types in trading data.,"[8582, 100, 254, 10373, 26484, 25, 2039, 388, 1866, 460, 307, 973, 284, 5911, 1180, 1502, 3858, 287, 7313, 1366, 13]",0.5,38,ml_signal,14,Enum members can be used to identify different order types in trading data.,,28,"    LONG = _(""多"")","[220, 220, 220, 44533, 796, 4808, 7203, 13783, 248, 4943]"
"✅ Best Practice: Enum class is used for creating enumerations which are a set of symbolic names bound to unique, constant values.","[26486, 227, 6705, 19939, 25, 2039, 388, 1398, 318, 973, 329, 4441, 27056, 602, 543, 389, 257, 900, 286, 18975, 3891, 5421, 284, 3748, 11, 6937, 3815, 13]",0.5,38,best_practice,17,"Enum class is used for creating enumerations which are a set of symbolic names bound to unique, constant values.",,38,,[]
🧠 ML Signal: Enum members can be used to identify different trade actions in trading data.,"[8582, 100, 254, 10373, 26484, 25, 2039, 388, 1866, 460, 307, 973, 284, 5911, 1180, 3292, 4028, 287, 7313, 1366, 13]",0.5,45,ml_signal,19,Enum members can be used to identify different trade actions in trading data.,,38,class Offset(Enum):,"[4871, 3242, 2617, 7, 4834, 388, 2599]"
🧠 ML Signal: Enum members can be used to identify different trade actions in trading data.,"[8582, 100, 254, 10373, 26484, 25, 2039, 388, 1866, 460, 307, 973, 284, 5911, 1180, 3292, 4028, 287, 7313, 1366, 13]",0.5,55,ml_signal,21,Enum members can be used to identify different trade actions in trading data.,,45,    Offset of order/trade.,"[220, 220, 220, 3242, 2617, 286, 1502, 14, 25351, 13]"
"✅ Best Practice: Enum class is used for creating enumerations which are a set of symbolic names bound to unique, constant values.","[26486, 227, 6705, 19939, 25, 2039, 388, 1398, 318, 973, 329, 4441, 27056, 602, 543, 389, 257, 900, 286, 18975, 3891, 5421, 284, 3748, 11, 6937, 3815, 13]",0.5,62,best_practice,23,"Enum class is used for creating enumerations which are a set of symbolic names bound to unique, constant values.",,55,"    NONE = """"","[220, 220, 220, 399, 11651, 796, 13538]"
🧠 ML Signal: Enum members can be used to identify different time-in-force instructions in trading data.,"[8582, 100, 254, 10373, 26484, 25, 2039, 388, 1866, 460, 307, 973, 284, 5911, 1180, 640, 12, 259, 12, 3174, 7729, 287, 7313, 1366, 13]",0.5,78,ml_signal,26,Enum members can be used to identify different time-in-force instructions in trading data.,,62,"    CLOSETODAY = _(""平今"")","[220, 220, 220, 7852, 2640, 2767, 3727, 4792, 796, 4808, 7203, 33176, 111, 20015, 232, 4943]"
🧠 ML Signal: Enum members can be used to identify different time-in-force instructions in trading data.,"[8582, 100, 254, 10373, 26484, 25, 2039, 388, 1866, 460, 307, 973, 284, 5911, 1180, 640, 12, 259, 12, 3174, 7729, 287, 7313, 1366, 13]",0.5,78,ml_signal,28,Enum members can be used to identify different time-in-force instructions in trading data.,,78,,[]
🧠 ML Signal: Enum members can be used to identify different time-in-force instructions in trading data.,"[8582, 100, 254, 10373, 26484, 25, 2039, 388, 1866, 460, 307, 973, 284, 5911, 1180, 640, 12, 259, 12, 3174, 7729, 287, 7313, 1366, 13]",0.5,84,ml_signal,30,Enum members can be used to identify different time-in-force instructions in trading data.,,78,class Status(Enum):,"[4871, 12678, 7, 4834, 388, 2599]"
