annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Define a class to encapsulate related functionality and data.,"[26486, 227, 6705, 19939, 25, 2896, 500, 257, 1398, 284, 32652, 5039, 3519, 11244, 290, 1366, 13]",0.5,7,best_practice,8,Define a class to encapsulate related functionality and data.,,0,from zvt.domain import Stock,"[6738, 1976, 36540, 13, 27830, 1330, 10500]"
✅ Best Practice: Use type hints for function parameters and return types for better readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5765, 2099, 20269, 329, 2163, 10007, 290, 1441, 3858, 329, 1365, 1100, 1799, 290, 5529, 1799, 13]",0.5,14,best_practice,8,Use type hints for function parameters and return types for better readability and maintainability.,,7,from zvt.domain import Stock,"[6738, 1976, 36540, 13, 27830, 1330, 10500]"
✅ Best Practice: Call the superclass constructor to ensure proper initialization.,"[26486, 227, 6705, 19939, 25, 4889, 262, 2208, 4871, 23772, 284, 4155, 1774, 37588, 13]",0.5,21,best_practice,8,Call the superclass constructor to ensure proper initialization.,,14,from zvt.domain import Stock,"[6738, 1976, 36540, 13, 27830, 1330, 10500]"
🧠 ML Signal: Tracking initialization parameters can help in understanding usage patterns.,"[8582, 100, 254, 10373, 26484, 25, 37169, 37588, 10007, 460, 1037, 287, 4547, 8748, 7572, 13]",0.5,28,ml_signal,8,Tracking initialization parameters can help in understanding usage patterns.,,21,from zvt.domain import Stock,"[6738, 1976, 36540, 13, 27830, 1330, 10500]"
✅ Best Practice: Use type hints for function parameters and return types for better readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5765, 2099, 20269, 329, 2163, 10007, 290, 1441, 3858, 329, 1365, 1100, 1799, 290, 5529, 1799, 13]",0.5,43,best_practice,29,Use type hints for function parameters and return types for better readability and maintainability.,,28,"        keep_window: int = None,","[220, 220, 220, 220, 220, 220, 220, 1394, 62, 17497, 25, 493, 796, 6045, 11]"
🧠 ML Signal: The use of a method named 'compute' suggests a pattern of data processing or transformation.,"[8582, 100, 254, 10373, 26484, 25, 383, 779, 286, 257, 2446, 3706, 705, 5589, 1133, 6, 5644, 257, 3912, 286, 1366, 7587, 393, 13389, 13]",0.5,60,ml_signal,31,The use of a method named 'compute' suggests a pattern of data processing or transformation.,,43,"        fill_method: str = ""ffill"",","[220, 220, 220, 220, 220, 220, 220, 6070, 62, 24396, 25, 965, 796, 366, 487, 359, 1600]"
⚠️ SAST Risk (Low): Ensure that data processing does not lead to data leakage or unintended data exposure.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 48987, 326, 1366, 7587, 857, 407, 1085, 284, 1366, 47988, 393, 30261, 1366, 7111, 13]",0.5,75,sast_risk,32,Ensure that data processing does not lead to data leakage or unintended data exposure.,Low,60,"        effective_number: int = None,","[220, 220, 220, 220, 220, 220, 220, 4050, 62, 17618, 25, 493, 796, 6045, 11]"
✅ Best Practice: Use descriptive variable names for better code readability.,"[26486, 227, 6705, 19939, 25, 5765, 35644, 7885, 3891, 329, 1365, 2438, 1100, 1799, 13]",0.5,89,best_practice,33,Use descriptive variable names for better code readability.,,75,"        transformer: Transformer = None,","[220, 220, 220, 220, 220, 220, 220, 47385, 25, 3602, 16354, 796, 6045, 11]"
🧠 ML Signal: The pattern of transforming data can be useful for understanding data processing workflows.,"[8582, 100, 254, 10373, 26484, 25, 383, 3912, 286, 25449, 1366, 460, 307, 4465, 329, 4547, 1366, 7587, 670, 44041, 13]",0.5,105,ml_signal,35,The pattern of transforming data can be useful for understanding data processing workflows.,,89,"        need_persist: bool = False,","[220, 220, 220, 220, 220, 220, 220, 761, 62, 19276, 396, 25, 20512, 796, 10352, 11]"
🧠 ML Signal: Accumulation of data over time can indicate a pattern of historical data analysis.,"[8582, 100, 254, 10373, 26484, 25, 6366, 388, 1741, 286, 1366, 625, 640, 460, 7603, 257, 3912, 286, 6754, 1366, 3781, 13]",0.5,120,ml_signal,38,Accumulation of data over time can indicate a pattern of historical data analysis.,,105,"        clear_state: bool = False,","[220, 220, 220, 220, 220, 220, 220, 1598, 62, 5219, 25, 20512, 796, 10352, 11]"
✅ Best Practice: Use type hints for function parameters and return types for better readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5765, 2099, 20269, 329, 2163, 10007, 290, 1441, 3858, 329, 1365, 1100, 1799, 290, 5529, 1799, 13]",0.5,137,best_practice,39,Use type hints for function parameters and return types for better readability and maintainability.,,120,"        only_load_factor: bool = False,","[220, 220, 220, 220, 220, 220, 220, 691, 62, 2220, 62, 31412, 25, 20512, 796, 10352, 11]"
🧠 ML Signal: Fetching data based on schema and provider can indicate data source preferences.,"[8582, 100, 254, 10373, 26484, 25, 376, 7569, 278, 1366, 1912, 319, 32815, 290, 10131, 460, 7603, 1366, 2723, 15387, 13]",0.5,154,ml_signal,39,Fetching data based on schema and provider can indicate data source preferences.,,137,"        only_load_factor: bool = False,","[220, 220, 220, 220, 220, 220, 220, 691, 62, 2220, 62, 31412, 25, 20512, 796, 10352, 11]"
⚠️ SAST Risk (Low): Ensure that data fetching is secure and does not expose sensitive information.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 48987, 326, 1366, 21207, 278, 318, 5713, 290, 857, 407, 15651, 8564, 1321, 13]",0.5,172,sast_risk,52,Ensure that data fetching is secure and does not expose sensitive information.,Low,154,"                ""volume"",","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 366, 29048, 1600]"
🧠 ML Signal: The use of a default adjust type can indicate a preference for data normalization.,"[8582, 100, 254, 10373, 26484, 25, 383, 779, 286, 257, 4277, 4532, 2099, 460, 7603, 257, 12741, 329, 1366, 3487, 1634, 13]",0.5,190,ml_signal,52,The use of a default adjust type can indicate a preference for data normalization.,,172,"                ""volume"",","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 366, 29048, 1600]"
"✅ Best Practice: Class definition should follow PEP 8 naming conventions, using CamelCase.","[26486, 227, 6705, 19939, 25, 5016, 6770, 815, 1061, 350, 8905, 807, 19264, 21396, 11, 1262, 43281, 20448, 13]",0.5,197,best_practice,8,"Class definition should follow PEP 8 naming conventions, using CamelCase.",,190,from zvt.domain import Stock,"[6738, 1976, 36540, 13, 27830, 1330, 10500]"
✅ Best Practice: Initialize mutable default arguments like lists to avoid shared state across instances.,"[26486, 227, 6705, 19939, 25, 20768, 1096, 4517, 540, 4277, 7159, 588, 8341, 284, 3368, 4888, 1181, 1973, 10245, 13]",1.0,212,best_practice,38,Initialize mutable default arguments like lists to avoid shared state across instances.,,197,"        clear_state: bool = False,","[220, 220, 220, 220, 220, 220, 220, 1598, 62, 5219, 25, 20512, 796, 10352, 11]"
✅ Best Practice: Use default values for optional parameters to ensure consistent behavior.,"[26486, 227, 6705, 19939, 25, 5765, 4277, 3815, 329, 11902, 10007, 284, 4155, 6414, 4069, 13]",0.5,231,best_practice,53,Use default values for optional parameters to ensure consistent behavior.,,212,"                ""turnover"",","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 366, 15344, 2502, 1600]"
🧠 ML Signal: Usage of dynamic schema generation based on input parameters.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 8925, 32815, 5270, 1912, 319, 5128, 10007, 13]",1.0,260,ml_signal,57,Usage of dynamic schema generation based on input parameters.,,231,        # 股票默认使用后复权,"[220, 220, 220, 220, 220, 220, 220, 1303, 5525, 224, 94, 163, 98, 101, 165, 119, 246, 164, 106, 97, 45635, 18796, 101, 28938, 236, 13783, 235, 30266, 225]"
✅ Best Practice: Use default values for optional parameters to ensure consistent behavior.,"[26486, 227, 6705, 19939, 25, 5765, 4277, 3815, 329, 11902, 10007, 284, 4155, 6414, 4069, 13]",0.5,273,best_practice,58,Use default values for optional parameters to ensure consistent behavior.,,260,        if not adjust_type:,"[220, 220, 220, 220, 220, 220, 220, 611, 407, 4532, 62, 4906, 25]"
🧠 ML Signal: Dynamic naming pattern based on class type and level.,"[8582, 100, 254, 10373, 26484, 25, 26977, 19264, 3912, 1912, 319, 1398, 2099, 290, 1241, 13]",1.0,289,ml_signal,61,Dynamic naming pattern based on class type and level.,,273,        self.adjust_type = adjust_type,"[220, 220, 220, 220, 220, 220, 220, 2116, 13, 23032, 62, 4906, 796, 4532, 62, 4906]"
