annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
"🧠 ML Signal: Dictionary mapping for financial terms, useful for feature extraction in ML models","[8582, 100, 254, 10373, 26484, 25, 28261, 16855, 329, 3176, 2846, 11, 4465, 329, 3895, 22236, 287, 10373, 4981]",1.0,23,ml_signal,6,"Dictionary mapping for financial terms, useful for feature extraction in ML models",,0,"from zvt.utils.utils import add_func_to_value, first_item_to_float","[6738, 1976, 36540, 13, 26791, 13, 26791, 1330, 751, 62, 20786, 62, 1462, 62, 8367, 11, 717, 62, 9186, 62, 1462, 62, 22468]"
✅ Best Practice: Using a utility function to apply transformations to dictionary values,"[26486, 227, 6705, 19939, 25, 8554, 257, 10361, 2163, 284, 4174, 38226, 284, 22155, 3815]",1.0,40,best_practice,76,Using a utility function to apply transformations to dictionary values,,23,"    ""fi_net_interest_income"": ""Intnreve"",","[220, 220, 220, 366, 12463, 62, 3262, 62, 9446, 62, 12519, 1298, 366, 5317, 77, 36955, 1600]"
✅ Best Practice: Adding additional keys with transformation functions for specific data processing,"[26486, 227, 6705, 19939, 25, 18247, 3224, 8251, 351, 13389, 5499, 329, 2176, 1366, 7587]",0.5,55,best_practice,79,Adding additional keys with transformation functions for specific data processing,,40,    # 利息支出,"[220, 220, 220, 1303, 10263, 230, 102, 162, 223, 107, 162, 242, 107, 49035, 118]"
"🧠 ML Signal: Class definition with inheritance, useful for understanding class hierarchies and relationships","[8582, 100, 254, 10373, 26484, 25, 5016, 6770, 351, 24155, 11, 4465, 329, 4547, 1398, 28398, 444, 290, 6958]",0.5,74,ml_signal,77,"Class definition with inheritance, useful for understanding class hierarchies and relationships",,55,    # 其中:利息收入,"[220, 220, 220, 1303, 10263, 227, 114, 40792, 25, 26344, 102, 162, 223, 107, 162, 242, 114, 17739, 98]"
"🧠 ML Signal: Static URL assignment, useful for detecting hardcoded endpoints","[8582, 100, 254, 10373, 26484, 25, 36125, 10289, 16237, 11, 4465, 329, 31521, 1327, 40976, 886, 13033]",0.5,89,ml_signal,79,"Static URL assignment, useful for detecting hardcoded endpoints",,74,    # 利息支出,"[220, 220, 220, 1303, 10263, 230, 102, 162, 223, 107, 162, 242, 107, 49035, 118]"
⚠️ SAST Risk (Low): Hardcoded URL can lead to inflexibility and potential security risks if the endpoint changes or is deprecated,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 6912, 40976, 10289, 460, 1085, 284, 1167, 2588, 2247, 290, 2785, 2324, 7476, 611, 262, 36123, 2458, 393, 318, 39224]",0.5,115,sast_risk,81,Hardcoded URL can lead to inflexibility and potential security risks if the endpoint changes or is deprecated,Low,89,    # 手续费及佣金净收入,"[220, 220, 220, 1303, 10545, 231, 233, 163, 119, 255, 164, 112, 117, 20998, 232, 19526, 96, 34932, 239, 49035, 222, 162, 242, 114, 17739, 98]"
"🧠 ML Signal: Static string assignment, useful for detecting hardcoded values","[8582, 100, 254, 10373, 26484, 25, 36125, 4731, 16237, 11, 4465, 329, 31521, 1327, 40976, 3815]",0.5,143,ml_signal,83,"Static string assignment, useful for detecting hardcoded values",,115,    # 其中:手续费及佣金收入,"[220, 220, 220, 1303, 10263, 227, 114, 40792, 25, 33699, 233, 163, 119, 255, 164, 112, 117, 20998, 232, 19526, 96, 34932, 239, 162, 242, 114, 17739, 98]"
"🧠 ML Signal: Static integer assignment, useful for detecting hardcoded values","[8582, 100, 254, 10373, 26484, 25, 36125, 18253, 16237, 11, 4465, 329, 31521, 1327, 40976, 3815]",0.5,167,ml_signal,85,"Static integer assignment, useful for detecting hardcoded values",,143,    # 手续费及佣金支出,"[220, 220, 220, 1303, 10545, 231, 233, 163, 119, 255, 164, 112, 117, 20998, 232, 19526, 96, 34932, 239, 162, 242, 107, 49035, 118]"
🧠 ML Signal: Method definition without parameters,"[8582, 100, 254, 10373, 26484, 25, 11789, 6770, 1231, 10007]",0.5,193,ml_signal,81,Method definition without parameters,,167,    # 手续费及佣金净收入,"[220, 220, 220, 1303, 10545, 231, 233, 163, 119, 255, 164, 112, 117, 20998, 232, 19526, 96, 34932, 239, 49035, 222, 162, 242, 114, 17739, 98]"
🧠 ML Signal: Returning a variable from a method,"[8582, 100, 254, 10373, 26484, 25, 42882, 257, 7885, 422, 257, 2446]",0.5,221,ml_signal,83,Returning a variable from a method,,193,    # 其中:手续费及佣金收入,"[220, 220, 220, 1303, 10263, 227, 114, 40792, 25, 33699, 233, 163, 119, 255, 164, 112, 117, 20998, 232, 19526, 96, 34932, 239, 162, 242, 114, 17739, 98]"
🧠 ML Signal: Checking if the script is run as the main program,"[8582, 100, 254, 10373, 26484, 25, 39432, 611, 262, 4226, 318, 1057, 355, 262, 1388, 1430]",0.5,244,ml_signal,86,Checking if the script is run as the main program,,221,"    ""fi_expenses_for_fees_and_commissions"": ""Commexp"",","[220, 220, 220, 366, 12463, 62, 11201, 4541, 62, 1640, 62, 69, 2841, 62, 392, 62, 785, 8481, 1298, 366, 6935, 11201, 1600]"
🧠 ML Signal: Instantiating a class with specific parameters,"[8582, 100, 254, 10373, 26484, 25, 2262, 17096, 803, 257, 1398, 351, 2176, 10007]",1.0,267,ml_signal,86,Instantiating a class with specific parameters,,244,"    ""fi_expenses_for_fees_and_commissions"": ""Commexp"",","[220, 220, 220, 366, 12463, 62, 11201, 4541, 62, 1640, 62, 69, 2841, 62, 392, 62, 785, 8481, 1298, 366, 6935, 11201, 1600]"
🧠 ML Signal: Calling a method on an object,"[8582, 100, 254, 10373, 26484, 25, 32677, 257, 2446, 319, 281, 2134]",1.0,290,ml_signal,86,Calling a method on an object,,267,"    ""fi_expenses_for_fees_and_commissions"": ""Commexp"",","[220, 220, 220, 366, 12463, 62, 11201, 4541, 62, 1640, 62, 69, 2841, 62, 392, 62, 785, 8481, 1298, 366, 6935, 11201, 1600]"
✅ Best Practice: Defining __all__ to specify public API of the module,"[26486, 227, 6705, 19939, 25, 2896, 3191, 11593, 439, 834, 284, 11986, 1171, 7824, 286, 262, 8265]",1.0,313,best_practice,86,Defining __all__ to specify public API of the module,,290,"    ""fi_expenses_for_fees_and_commissions"": ""Commexp"",","[220, 220, 220, 366, 12463, 62, 11201, 4541, 62, 1640, 62, 69, 2841, 62, 392, 62, 785, 8481, 1298, 366, 6935, 11201, 1600]"
