annotation,annotation_tokens,confidence,end_token,label,line,reason,start_token,text,tokens
✅ Best Practice: Use of Enum for predefined constant values improves code readability and maintainability,"[26486, 227, 6705, 19939, 25, 5765, 286, 2039, 388, 329, 2747, 18156, 6937, 3815, 19575, 2438, 1100, 1799, 290, 5529, 1799]",1.0,5,best_practice,2,Use of Enum for predefined constant values improves code readability and maintainability,0,from enum import Enum,"[6738, 33829, 1330, 2039, 388]"
✅ Best Practice: Enum members provide a clear and concise way to define constant values,"[26486, 227, 6705, 19939, 25, 2039, 388, 1866, 2148, 257, 1598, 290, 35327, 835, 284, 8160, 6937, 3815]",1.0,5,best_practice,4,Enum members provide a clear and concise way to define constant values,5,,[]
✅ Best Practice: Use of Enum for defining a set of named constants improves code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 2039, 388, 329, 16215, 257, 900, 286, 3706, 38491, 19575, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,13,best_practice,6,Use of Enum for defining a set of named constants improves code readability and maintainability.,5,"    system = ""system""","[220, 220, 220, 1080, 796, 366, 10057, 1]"
✅ Best Practice: Defining specific string values for Enum members enhances clarity and usability.,"[26486, 227, 6705, 19939, 25, 2896, 3191, 2176, 4731, 3815, 329, 2039, 388, 1866, 32479, 16287, 290, 42863, 13]",0.5,22,best_practice,8,Defining specific string values for Enum members enhances clarity and usability.,13,"    dynamic = ""dynamic""","[220, 220, 220, 8925, 796, 366, 67, 28995, 1]"
✅ Best Practice: Use of Enum for InsertMode improves code readability and maintainability,"[26486, 227, 6705, 19939, 25, 5765, 286, 2039, 388, 329, 35835, 19076, 19575, 2438, 1100, 1799, 290, 5529, 1799]",1.0,22,best_practice,9,Use of Enum for InsertMode improves code readability and maintainability,22,,[]
✅ Best Practice: Enum members are defined with clear and descriptive names,"[26486, 227, 6705, 19939, 25, 2039, 388, 1866, 389, 5447, 351, 1598, 290, 35644, 3891]",1.0,30,best_practice,11,Enum members are defined with clear and descriptive names,22,class DynamicPoolType(Enum):,"[4871, 26977, 27201, 6030, 7, 4834, 388, 2599]"
✅ Best Practice: Use of Enum for defining a set of related constants improves code readability and maintainability,"[26486, 227, 6705, 19939, 25, 5765, 286, 2039, 388, 329, 16215, 257, 900, 286, 3519, 38491, 19575, 2438, 1100, 1799, 290, 5529, 1799]",0.5,42,best_practice,12,Use of Enum for defining a set of related constants improves code readability and maintainability,30,"    limit_up = ""limit_up""","[220, 220, 220, 4179, 62, 929, 796, 366, 32374, 62, 929, 1]"
✅ Best Practice: Defining class variables for Enum members improves code organization,"[26486, 227, 6705, 19939, 25, 2896, 3191, 1398, 9633, 329, 2039, 388, 1866, 19575, 2438, 4009]",0.5,42,best_practice,14,Defining class variables for Enum members improves code organization,42,,[]
✅ Best Practice: Use of Enum for defining a set of related constants improves code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 2039, 388, 329, 16215, 257, 900, 286, 3519, 38491, 19575, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,49,best_practice,16,Use of Enum for defining a set of related constants improves code readability and maintainability.,42,class InsertMode(Enum):,"[4871, 35835, 19076, 7, 4834, 388, 2599]"
✅ Best Practice: Defining __all__ to specify public symbols of the module improves code clarity and prevents unintended exports.,"[26486, 227, 6705, 19939, 25, 2896, 3191, 11593, 439, 834, 284, 11986, 1171, 14354, 286, 262, 8265, 19575, 2438, 16287, 290, 15174, 30261, 15319, 13]",0.5,49,best_practice,19,Defining __all__ to specify public symbols of the module improves code clarity and prevents unintended exports.,49,,[]
