annotation,annotation_tokens,confidence,end_token,label,line,reason,start_token,text,tokens
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,0,best_practice,2,Grouping imports from the same module together improves readability.,0,,[]
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,11,best_practice,4,Grouping imports from the same module together improves readability.,0,from zvt.contract.recorder import Recorder,"[6738, 1976, 36540, 13, 28484, 13, 8344, 2875, 1330, 3311, 2875]"
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,23,best_practice,6,Grouping imports from the same module together improves readability.,11,from zvt.recorders.em import em_api,"[6738, 1976, 36540, 13, 8344, 6361, 13, 368, 1330, 795, 62, 15042]"
"🧠 ML Signal: Class definition with inheritance, useful for understanding class hierarchies and relationships","[8582, 100, 254, 10373, 26484, 25, 5016, 6770, 351, 24155, 11, 4465, 329, 4547, 1398, 28398, 444, 290, 6958]",0.5,38,ml_signal,5,"Class definition with inheritance, useful for understanding class hierarchies and relationships",23,from zvt.domain.meta.indexus_meta import Indexus,"[6738, 1976, 36540, 13, 27830, 13, 28961, 13, 9630, 385, 62, 28961, 1330, 12901, 385]"
"🧠 ML Signal: Class attribute definition, useful for understanding default values and configurations","[8582, 100, 254, 10373, 26484, 25, 5016, 11688, 6770, 11, 4465, 329, 4547, 4277, 3815, 290, 25412]",1.0,38,ml_signal,7,"Class attribute definition, useful for understanding default values and configurations",38,,[]
"🧠 ML Signal: Class attribute definition, useful for understanding default values and configurations","[8582, 100, 254, 10373, 26484, 25, 5016, 11688, 6770, 11, 4465, 329, 4547, 4277, 3815, 290, 25412]",1.0,48,ml_signal,9,"Class attribute definition, useful for understanding default values and configurations",38,class EMIndexusRecorder(Recorder):,"[4871, 17228, 15732, 385, 6690, 2875, 7, 6690, 2875, 2599]"
🧠 ML Signal: Usage of external API to fetch data,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 7097, 7824, 284, 21207, 1366]",1.0,58,ml_signal,9,Usage of external API to fetch data,48,class EMIndexusRecorder(Recorder):,"[4871, 17228, 15732, 385, 6690, 2875, 7, 6690, 2875, 2599]"
🧠 ML Signal: Logging of data for monitoring or debugging,"[8582, 100, 254, 10373, 26484, 25, 5972, 2667, 286, 1366, 329, 9904, 393, 28769]",1.0,68,ml_signal,11,Logging of data for monitoring or debugging,58,    data_schema = Indexus,"[220, 220, 220, 1366, 62, 15952, 2611, 796, 12901, 385]"
🧠 ML Signal: Data persistence pattern,"[8582, 100, 254, 10373, 26484, 25, 6060, 30802, 3912]",1.0,76,ml_signal,13,Data persistence pattern,68,    def run(self):,"[220, 220, 220, 825, 1057, 7, 944, 2599]"
✅ Best Practice: Standard Python entry point check,"[26486, 227, 6705, 19939, 25, 8997, 11361, 5726, 966, 2198]",0.5,92,best_practice,15,Standard Python entry point check,76,        self.logger.info(df),"[220, 220, 220, 220, 220, 220, 220, 2116, 13, 6404, 1362, 13, 10951, 7, 7568, 8]"
🧠 ML Signal: Instantiation and execution of a class method,"[8582, 100, 254, 10373, 26484, 25, 24470, 3920, 290, 9706, 286, 257, 1398, 2446]",0.5,108,ml_signal,15,Instantiation and execution of a class method,92,        self.logger.info(df),"[220, 220, 220, 220, 220, 220, 220, 2116, 13, 6404, 1362, 13, 10951, 7, 7568, 8]"
✅ Best Practice: Use of __all__ to define public API of the module,"[26486, 227, 6705, 19939, 25, 5765, 286, 11593, 439, 834, 284, 8160, 1171, 7824, 286, 262, 8265]",1.0,124,best_practice,15,Use of __all__ to define public API of the module,108,        self.logger.info(df),"[220, 220, 220, 220, 220, 220, 220, 2116, 13, 6404, 1362, 13, 10951, 7, 7568, 8]"
