annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
⚠️ SAST Risk (Low): Importing all functions from a module can lead to namespace conflicts and may include unused functions.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 17267, 278, 477, 5499, 422, 257, 8265, 460, 1085, 284, 25745, 12333, 290, 743, 2291, 21958, 5499, 13]",1.0,6,sast_risk,5,Importing all functions from a module can lead to namespace conflicts and may include unused functions.,Low,0,import pandas as pd,"[11748, 19798, 292, 355, 279, 67]"
⚠️ SAST Risk (Low): Importing with a wildcard can lead to namespace conflicts and may include unused functions.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 17267, 278, 351, 257, 4295, 9517, 460, 1085, 284, 25745, 12333, 290, 743, 2291, 21958, 5499, 13]",1.0,12,sast_risk,7,Importing with a wildcard can lead to namespace conflicts and may include unused functions.,Low,6,from sqlalchemy import func,"[6738, 44161, 282, 26599, 1330, 25439]"
⚠️ SAST Risk (Low): Importing specific functions from a module is preferred for clarity and to avoid namespace pollution.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 17267, 278, 2176, 5499, 422, 257, 8265, 318, 9871, 329, 16287, 290, 284, 3368, 25745, 12231, 13]",1.0,23,sast_risk,9,Importing specific functions from a module is preferred for clarity and to avoid namespace pollution.,Low,12,import zvt.contract.api as contract_api,"[11748, 1976, 36540, 13, 28484, 13, 15042, 355, 2775, 62, 15042]"
✅ Best Practice: Use of a logger is a good practice for tracking and debugging.,"[26486, 227, 6705, 19939, 25, 5765, 286, 257, 49706, 318, 257, 922, 3357, 329, 9646, 290, 28769, 13]",0.5,44,best_practice,45,Use of a logger is a good practice for tracking and debugging.,,23,"from zvt.utils.utils import fill_dict, compare_dicts, flatten_list","[6738, 1976, 36540, 13, 26791, 13, 26791, 1330, 6070, 62, 11600, 11, 8996, 62, 11600, 82, 11, 27172, 268, 62, 4868]"
✅ Best Practice: Function name is descriptive and follows naming conventions.,"[26486, 227, 6705, 19939, 25, 15553, 1438, 318, 35644, 290, 5679, 19264, 21396, 13]",1.0,77,best_practice,44,Function name is descriptive and follows naming conventions.,,44,"from zvt.utils.time_utils import to_pd_timestamp, to_time_str, current_date, now_pd_timestamp","[6738, 1976, 36540, 13, 26791, 13, 2435, 62, 26791, 1330, 284, 62, 30094, 62, 16514, 27823, 11, 284, 62, 2435, 62, 2536, 11, 1459, 62, 4475, 11, 783, 62, 30094, 62, 16514, 27823]"
✅ Best Practice: Using a single return statement for clarity.,"[26486, 227, 6705, 19939, 25, 8554, 257, 2060, 1441, 2643, 329, 16287, 13]",1.0,98,best_practice,45,Using a single return statement for clarity.,,77,"from zvt.utils.utils import fill_dict, compare_dicts, flatten_list","[6738, 1976, 36540, 13, 26791, 13, 26791, 1330, 6070, 62, 11600, 11, 8996, 62, 11600, 82, 11, 27172, 268, 62, 4868]"
✅ Best Practice: Checking each attribute separately for better readability.,"[26486, 227, 6705, 19939, 25, 39432, 1123, 11688, 13869, 329, 1365, 1100, 1799, 13]",0.5,119,best_practice,45,Checking each attribute separately for better readability.,,98,"from zvt.utils.utils import fill_dict, compare_dicts, flatten_list","[6738, 1976, 36540, 13, 26791, 13, 26791, 1330, 6070, 62, 11600, 11, 8996, 62, 11600, 82, 11, 27172, 268, 62, 4868]"
"🧠 ML Signal: Comparing dictionary structures, which could indicate data structure changes.","[8582, 100, 254, 10373, 26484, 25, 3082, 1723, 22155, 8573, 11, 543, 714, 7603, 1366, 4645, 2458, 13]",0.5,150,ml_signal,53,"Comparing dictionary structures, which could indicate data structure changes.",,119,        or stock_tags.main_tag_reason != set_stock_tags_model.main_tag_reason,"[220, 220, 220, 220, 220, 220, 220, 393, 4283, 62, 31499, 13, 12417, 62, 12985, 62, 41181, 14512, 900, 62, 13578, 62, 31499, 62, 19849, 13, 12417, 62, 12985, 62, 41181]"
⚠️ SAST Risk (Low): Potential SQL injection if entity_id is not properly sanitized,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 16363, 16954, 611, 9312, 62, 312, 318, 407, 6105, 5336, 36951]",0.5,181,sast_risk,55,Potential SQL injection if entity_id is not properly sanitized,Low,150,        or stock_tags.sub_tag_reason != set_stock_tags_model.sub_tag_reason,"[220, 220, 220, 220, 220, 220, 220, 393, 4283, 62, 31499, 13, 7266, 62, 12985, 62, 41181, 14512, 900, 62, 13578, 62, 31499, 62, 19849, 13, 7266, 62, 12985, 62, 41181]"
🧠 ML Signal: Usage of query_data method to fetch data,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 12405, 62, 7890, 2446, 284, 21207, 1366]",0.5,219,ml_signal,56,Usage of query_data method to fetch data,,181,"        or not compare_dicts(stock_tags.active_hidden_tags, set_stock_tags_model.active_hidden_tags)","[220, 220, 220, 220, 220, 220, 220, 393, 407, 8996, 62, 11600, 82, 7, 13578, 62, 31499, 13, 5275, 62, 30342, 62, 31499, 11, 900, 62, 13578, 62, 31499, 62, 19849, 13, 5275, 62, 30342, 62, 31499, 8]"
