annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
🧠 ML Signal: Importing specific functions from a module indicates selective usage patterns,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 422, 257, 8265, 9217, 21792, 8748, 7572]",1.0,6,ml_signal,2,Importing specific functions from a module indicates selective usage patterns,,0,import pandas as pd,"[11748, 19798, 292, 355, 279, 67]"
🧠 ML Signal: Importing specific functions from a module indicates selective usage patterns,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 422, 257, 8265, 9217, 21792, 8748, 7572]",1.0,6,ml_signal,4,Importing specific functions from a module indicates selective usage patterns,,6,,[]
🧠 ML Signal: Importing specific functions from a module indicates selective usage patterns,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 422, 257, 8265, 9217, 21792, 8748, 7572]",1.0,24,ml_signal,6,Importing specific functions from a module indicates selective usage patterns,,6,from zvt.api.utils import china_stock_code_to_id,"[6738, 1976, 36540, 13, 15042, 13, 26791, 1330, 442, 1437, 62, 13578, 62, 8189, 62, 1462, 62, 312]"
🧠 ML Signal: Importing specific functions from a module indicates selective usage patterns,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 422, 257, 8265, 9217, 21792, 8748, 7572]",1.0,41,ml_signal,8,Importing specific functions from a module indicates selective usage patterns,,24,"from zvt.contract.recorder import Recorder, TimeSeriesDataRecorder","[6738, 1976, 36540, 13, 28484, 13, 8344, 2875, 1330, 3311, 2875, 11, 3862, 27996, 6601, 6690, 2875]"
🧠 ML Signal: Importing specific classes from a module indicates selective usage patterns,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 6097, 422, 257, 8265, 9217, 21792, 8748, 7572]",1.0,68,ml_signal,10,Importing specific classes from a module indicates selective usage patterns,,41,"from zvt.recorders.joinquant.common import to_entity_id, jq_to_report_period","[6738, 1976, 36540, 13, 8344, 6361, 13, 7639, 18934, 415, 13, 11321, 1330, 284, 62, 26858, 62, 312, 11, 474, 80, 62, 1462, 62, 13116, 62, 41007]"
🧠 ML Signal: Importing specific classes from a module indicates selective usage patterns,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 6097, 422, 257, 8265, 9217, 21792, 8748, 7572]",1.0,105,ml_signal,12,Importing specific classes from a module indicates selective usage patterns,,68,"from zvt.utils.time_utils import to_time_str, date_time_by_interval, now_pd_timestamp, is_same_date","[6738, 1976, 36540, 13, 26791, 13, 2435, 62, 26791, 1330, 284, 62, 2435, 62, 2536, 11, 3128, 62, 2435, 62, 1525, 62, 3849, 2100, 11, 783, 62, 30094, 62, 16514, 27823, 11, 318, 62, 31642, 62, 4475]"
🧠 ML Signal: Importing specific functions from a module indicates selective usage patterns,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 422, 257, 8265, 9217, 21792, 8748, 7572]",1.0,105,ml_signal,14,Importing specific functions from a module indicates selective usage patterns,,105,,[]
🧠 ML Signal: Importing specific functions from a module indicates selective usage patterns,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 422, 257, 8265, 9217, 21792, 8748, 7572]",1.0,115,ml_signal,16,Importing specific functions from a module indicates selective usage patterns,,105,"    provider = ""joinquant""","[220, 220, 220, 10131, 796, 366, 7639, 18934, 415, 1]"
🧠 ML Signal: Importing specific functions from a module indicates selective usage patterns,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 422, 257, 8265, 9217, 21792, 8748, 7572]",1.0,115,ml_signal,18,Importing specific functions from a module indicates selective usage patterns,,115,,[]
"🧠 ML Signal: Inheritance from a base class, indicating a common pattern for extending functionality","[8582, 100, 254, 10373, 26484, 25, 47025, 42942, 422, 257, 2779, 1398, 11, 12739, 257, 2219, 3912, 329, 16610, 11244]",0.5,152,ml_signal,12,"Inheritance from a base class, indicating a common pattern for extending functionality",,115,"from zvt.utils.time_utils import to_time_str, date_time_by_interval, now_pd_timestamp, is_same_date","[6738, 1976, 36540, 13, 26791, 13, 2435, 62, 26791, 1330, 284, 62, 2435, 62, 2536, 11, 3128, 62, 2435, 62, 1525, 62, 3849, 2100, 11, 783, 62, 30094, 62, 16514, 27823, 11, 318, 62, 31642, 62, 4475]"
✅ Best Practice: Class-level attributes provide clear and consistent configuration for instances,"[26486, 227, 6705, 19939, 25, 5016, 12, 5715, 12608, 2148, 1598, 290, 6414, 8398, 329, 10245]",0.5,152,best_practice,13,Class-level attributes provide clear and consistent configuration for instances,,152,,[]
