annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
"✅ Best Practice: Group imports into standard library, third-party, and local imports for better readability","[26486, 227, 6705, 19939, 25, 4912, 17944, 656, 3210, 5888, 11, 2368, 12, 10608, 11, 290, 1957, 17944, 329, 1365, 1100, 1799]",1.0,0,best_practice,4,"Group imports into standard library, third-party, and local imports for better readability",,0,,[]
🧠 ML Signal: Inheritance from TimestampsDataRecorder indicates a pattern of extending functionality,"[8582, 100, 254, 10373, 26484, 25, 47025, 42942, 422, 5045, 395, 9430, 6601, 6690, 2875, 9217, 257, 3912, 286, 16610, 11244]",0.5,0,ml_signal,11,Inheritance from TimestampsDataRecorder indicates a pattern of extending functionality,,0,,[]
🧠 ML Signal: Use of class-level attributes for configuration,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 1398, 12, 5715, 12608, 329, 8398]",0.5,14,ml_signal,13,Use of class-level attributes for configuration,,0,class ExchangeStockSummaryRecorder(TimestampsDataRecorder):,"[4871, 12516, 26207, 22093, 6690, 2875, 7, 14967, 395, 9430, 6601, 6690, 2875, 2599]"
🧠 ML Signal: Use of class-level attributes for configuration,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 1398, 12, 5715, 12608, 329, 8398]",0.5,23,ml_signal,15,Use of class-level attributes for configuration,,14,    entity_schema = Index,"[220, 220, 220, 9312, 62, 15952, 2611, 796, 12901]"
🧠 ML Signal: Use of class-level attributes for configuration,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 1398, 12, 5715, 12608, 329, 8398]",0.5,32,ml_signal,17,Use of class-level attributes for configuration,,23,"    provider = ""exchange""","[220, 220, 220, 10131, 796, 366, 1069, 3803, 1]"
🧠 ML Signal: Use of class-level attributes for configuration,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 1398, 12, 5715, 12608, 329, 8398]",0.5,41,ml_signal,17,Use of class-level attributes for configuration,,32,"    provider = ""exchange""","[220, 220, 220, 10131, 796, 366, 1069, 3803, 1]"
⚠️ SAST Risk (Low): Hardcoded URL can lead to inflexibility and potential security risks if the URL changes or is deprecated,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 6912, 40976, 10289, 460, 1085, 284, 1167, 2588, 2247, 290, 2785, 2324, 7476, 611, 262, 10289, 2458, 393, 318, 39224]",0.5,50,sast_risk,17,Hardcoded URL can lead to inflexibility and potential security risks if the URL changes or is deprecated,Low,41,"    provider = ""exchange""","[220, 220, 220, 10131, 796, 366, 1069, 3803, 1]"
⚠️ SAST Risk (Low): Hardcoded URL with query parameters can expose sensitive data or be manipulated if not handled properly,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 6912, 40976, 10289, 351, 12405, 10007, 460, 15651, 8564, 1366, 393, 307, 25036, 611, 407, 12118, 6105]",0.5,59,sast_risk,17,Hardcoded URL with query parameters can expose sensitive data or be manipulated if not handled properly,Low,50,"    provider = ""exchange""","[220, 220, 220, 10131, 796, 366, 1069, 3803, 1]"
✅ Best Practice: Use of super() to call the parent class's __init__ method,"[26486, 227, 6705, 19939, 25, 5765, 286, 2208, 3419, 284, 869, 262, 2560, 1398, 338, 11593, 15003, 834, 2446]",1.0,73,best_practice,33,Use of super() to call the parent class's __init__ method,,59,"        entity_filters=None,","[220, 220, 220, 220, 220, 220, 220, 9312, 62, 10379, 1010, 28, 14202, 11]"
🧠 ML Signal: Use of default parameters in function signature,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 4277, 10007, 287, 2163, 9877]",1.0,87,ml_signal,33,Use of default parameters in function signature,,73,"        entity_filters=None,","[220, 220, 220, 220, 220, 220, 220, 9312, 62, 10379, 1010, 28, 14202, 11]"
🧠 ML Signal: Use of default parameters in function signature,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 4277, 10007, 287, 2163, 9877]",1.0,101,ml_signal,33,Use of default parameters in function signature,,87,"        entity_filters=None,","[220, 220, 220, 220, 220, 220, 220, 9312, 62, 10379, 1010, 28, 14202, 11]"
🧠 ML Signal: Use of default parameters in function signature,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 4277, 10007, 287, 2163, 9877]",1.0,115,ml_signal,33,Use of default parameters in function signature,,101,"        entity_filters=None,","[220, 220, 220, 220, 220, 220, 220, 9312, 62, 10379, 1010, 28, 14202, 11]"
🧠 ML Signal: Use of default parameters in function signature,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 4277, 10007, 287, 2163, 9877]",1.0,129,ml_signal,33,Use of default parameters in function signature,,115,"        entity_filters=None,","[220, 220, 220, 220, 220, 220, 220, 9312, 62, 10379, 1010, 28, 14202, 11]"
🧠 ML Signal: Use of default parameters in function signature,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 4277, 10007, 287, 2163, 9877]",1.0,145,ml_signal,49,Use of default parameters in function signature,,129,"            entity_filters,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 9312, 62, 10379, 1010, 11]"
🧠 ML Signal: Use of default parameters in function signature,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 4277, 10007, 287, 2163, 9877]",1.0,161,ml_signal,49,Use of default parameters in function signature,,145,"            entity_filters,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 9312, 62, 10379, 1010, 11]"
🧠 ML Signal: Use of hardcoded list in function call,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 1327, 40976, 1351, 287, 2163, 869]",1.0,177,ml_signal,49,Use of hardcoded list in function call,,161,"            entity_filters,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 9312, 62, 10379, 1010, 11]"
🧠 ML Signal: Use of default parameters in function signature,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 4277, 10007, 287, 2163, 9877]",1.0,193,ml_signal,49,Use of default parameters in function signature,,177,"            entity_filters,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 9312, 62, 10379, 1010, 11]"
🧠 ML Signal: Use of default parameters in function signature,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 4277, 10007, 287, 2163, 9877]",1.0,208,ml_signal,51,Use of default parameters in function signature,,193,"            real_time,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 1103, 62, 2435, 11]"
🧠 ML Signal: Use of default parameters in function signature,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 4277, 10007, 287, 2163, 9877]",1.0,224,ml_signal,53,Use of default parameters in function signature,,208,"            start_timestamp,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 923, 62, 16514, 27823, 11]"
