annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Use of Path to handle file paths is more robust and cross-platform than string manipulation.,"[26486, 227, 6705, 19939, 25, 5765, 286, 10644, 284, 5412, 2393, 13532, 318, 517, 12373, 290, 3272, 12, 24254, 621, 4731, 17512, 13]",1.0,8,best_practice,11,Use of Path to handle file paths is more robust and cross-platform than string manipulation.,,0,from tqdm import tqdm,"[6738, 256, 80, 36020, 1330, 256, 80, 36020]"
✅ Best Practice: Appending to sys.path can lead to maintenance challenges; consider using virtual environments or package management.,"[26486, 227, 6705, 19939, 25, 2034, 1571, 284, 25064, 13, 6978, 460, 1085, 284, 9262, 6459, 26, 2074, 1262, 7166, 12493, 393, 5301, 4542, 13]",1.0,8,best_practice,14,Appending to sys.path can lead to maintenance challenges; consider using virtual environments or package management.,,8,,[]
🧠 ML Signal: Importing specific utility functions indicates a pattern of modular code usage.,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 10361, 5499, 9217, 257, 3912, 286, 26507, 2438, 8748, 13]",0.5,27,ml_signal,17,Importing specific utility functions indicates a pattern of modular code usage.,,8,from data_collector.utils import generate_minutes_calendar_from_daily,"[6738, 1366, 62, 33327, 273, 13, 26791, 1330, 7716, 62, 1084, 1769, 62, 9948, 9239, 62, 6738, 62, 29468]"
🧠 ML Signal: Usage of Path.glob to list files in a directory,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 10644, 13, 4743, 672, 284, 1351, 3696, 287, 257, 8619]",0.5,27,ml_signal,14,Usage of Path.glob to list files in a directory,,27,,[]
🧠 ML Signal: Usage of tqdm for progress tracking,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 256, 80, 36020, 329, 4371, 9646]",0.5,27,ml_signal,18,Usage of tqdm for progress tracking,,27,,[]
🧠 ML Signal: Usage of ThreadPoolExecutor for parallel processing,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 14122, 27201, 23002, 38409, 329, 10730, 7587]",1.0,63,ml_signal,20,Usage of ThreadPoolExecutor for parallel processing,,27,"def get_date_range(data_1min_dir: Path, max_workers: int = 16, date_field_name: str = ""date""):","[4299, 651, 62, 4475, 62, 9521, 7, 7890, 62, 16, 1084, 62, 15908, 25, 10644, 11, 3509, 62, 22896, 25, 493, 796, 1467, 11, 3128, 62, 3245, 62, 3672, 25, 965, 796, 366, 4475, 1, 2599]"
🧠 ML Signal: Iterating over files and results from executor.map,"[8582, 100, 254, 10373, 26484, 25, 40806, 803, 625, 3696, 290, 2482, 422, 3121, 273, 13, 8899]",0.5,71,ml_signal,22,Iterating over files and results from executor.map,,63,    min_date = None,"[220, 220, 220, 949, 62, 4475, 796, 6045]"
"⚠️ SAST Risk (Low): No validation on CSV content, potential for unexpected data","[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 1400, 21201, 319, 44189, 2695, 11, 2785, 329, 10059, 1366]",0.5,92,sast_risk,24,"No validation on CSV content, potential for unexpected data",Low,71,    with tqdm(total=len(csv_files)) as p_bar:,"[220, 220, 220, 351, 256, 80, 36020, 7, 23350, 28, 11925, 7, 40664, 62, 16624, 4008, 355, 279, 62, 5657, 25]"
🧠 ML Signal: Conversion of date field to datetime,"[8582, 100, 254, 10373, 26484, 25, 44101, 286, 3128, 2214, 284, 4818, 8079]",0.5,133,ml_signal,26,Conversion of date field to datetime,,92,"            for _file, _result in zip(csv_files, executor.map(pd.read_csv, csv_files)):","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 329, 4808, 7753, 11, 4808, 20274, 287, 19974, 7, 40664, 62, 16624, 11, 3121, 273, 13, 8899, 7, 30094, 13, 961, 62, 40664, 11, 269, 21370, 62, 16624, 8, 2599]"
✅ Best Practice: Use of min function to find the earliest date,"[26486, 227, 6705, 19939, 25, 5765, 286, 949, 2163, 284, 1064, 262, 14555, 3128]",0.5,133,best_practice,29,Use of min function to find the earliest date,,133,,[]
✅ Best Practice: Use of max function to find the latest date,"[26486, 227, 6705, 19939, 25, 5765, 286, 3509, 2163, 284, 1064, 262, 3452, 3128]",0.5,162,best_practice,30,Use of max function to find the latest date,,133,                    _tmp_min = _dates.min(),"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 4808, 22065, 62, 1084, 796, 4808, 19581, 13, 1084, 3419]"
🧠 ML Signal: Progress bar update,"[8582, 100, 254, 10373, 26484, 25, 18387, 2318, 4296]",0.5,183,ml_signal,34,Progress bar update,,162,                p_bar.update(),"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 279, 62, 5657, 13, 19119, 3419]"
✅ Best Practice: Returning a tuple of min_date and max_date,"[26486, 227, 6705, 19939, 25, 42882, 257, 46545, 286, 949, 62, 4475, 290, 3509, 62, 4475]",0.5,183,best_practice,37,Returning a tuple of min_date and max_date,,183,,[]
🧠 ML Signal: Use of lambda function for inline processing,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 37456, 2163, 329, 26098, 7587]",1.0,221,ml_signal,28,Use of lambda function for inline processing,,183,                    _dates = pd.to_datetime(_result[date_field_name]),"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 4808, 19581, 796, 279, 67, 13, 1462, 62, 19608, 8079, 28264, 20274, 58, 4475, 62, 3245, 62, 3672, 12962]"
✅ Best Practice: Use of Path.glob to list files in a directory,"[26486, 227, 6705, 19939, 25, 5765, 286, 10644, 13, 4743, 672, 284, 1351, 3696, 287, 257, 8619]",1.0,221,best_practice,29,Use of Path.glob to list files in a directory,,221,,[]
✅ Best Practice: Use of list and map for concise transformation,"[26486, 227, 6705, 19939, 25, 5765, 286, 1351, 290, 3975, 329, 35327, 13389]",1.0,250,best_practice,30,Use of list and map for concise transformation,,221,                    _tmp_min = _dates.min(),"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 4808, 22065, 62, 1084, 796, 4808, 19581, 13, 1084, 3419]"
🧠 ML Signal: File extension manipulation and string operations,"[8582, 100, 254, 10373, 26484, 25, 9220, 7552, 17512, 290, 4731, 4560]",0.5,279,ml_signal,30,File extension manipulation and string operations,,250,                    _tmp_min = _dates.min(),"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 4808, 22065, 62, 1084, 796, 4808, 19581, 13, 1084, 3419]"
✅ Best Practice: Use of Path to handle file paths for better cross-platform compatibility,"[26486, 227, 6705, 19939, 25, 5765, 286, 10644, 284, 5412, 2393, 13532, 329, 1365, 3272, 12, 24254, 17764]",0.5,283,best_practice,51,Use of Path to handle file paths for better cross-platform compatibility,,279,    Parameters,"[220, 220, 220, 40117]"
✅ Best Practice: Use of Path to handle file paths for better cross-platform compatibility,"[26486, 227, 6705, 19939, 25, 5765, 286, 10644, 284, 5412, 2393, 13532, 329, 1365, 3272, 12, 24254, 17764]",0.5,294,best_practice,53,Use of Path to handle file paths for better cross-platform compatibility,,283,    data_1min_dir: str,"[220, 220, 220, 1366, 62, 16, 1084, 62, 15908, 25, 965]"
"🧠 ML Signal: Usage of a function to get date range, indicating a pattern of data preprocessing","[8582, 100, 254, 10373, 26484, 25, 29566, 286, 257, 2163, 284, 651, 3128, 2837, 11, 12739, 257, 3912, 286, 1366, 662, 36948]",0.5,308,ml_signal,55,"Usage of a function to get date range, indicating a pattern of data preprocessing",,294,    qlib_data_1d_dir: str,"[220, 220, 220, 10662, 8019, 62, 7890, 62, 16, 67, 62, 15908, 25, 965]"
"🧠 ML Signal: Usage of a function to get symbols, indicating a pattern of data preprocessing","[8582, 100, 254, 10373, 26484, 25, 29566, 286, 257, 2163, 284, 651, 14354, 11, 12739, 257, 3912, 286, 1366, 662, 36948]",0.5,316,ml_signal,57,"Usage of a function to get symbols, indicating a pattern of data preprocessing",,308,    max_workers: int,"[220, 220, 220, 3509, 62, 22896, 25, 493]"
"🧠 ML Signal: Initialization of a data provider, indicating a pattern of data setup","[8582, 100, 254, 10373, 26484, 25, 20768, 1634, 286, 257, 1366, 10131, 11, 12739, 257, 3912, 286, 1366, 9058]",0.5,326,ml_signal,59,"Initialization of a data provider, indicating a pattern of data setup",,316,    date_field_name: str,"[220, 220, 220, 3128, 62, 3245, 62, 3672, 25, 965]"
"🧠 ML Signal: Fetching features from a data source, indicating a pattern of data retrieval","[8582, 100, 254, 10373, 26484, 25, 376, 7569, 278, 3033, 422, 257, 1366, 2723, 11, 12739, 257, 3912, 286, 1366, 45069]",0.5,336,ml_signal,61,"Fetching features from a data source, indicating a pattern of data retrieval",,326,    symbol_field_name: str,"[220, 220, 220, 6194, 62, 3245, 62, 3672, 25, 965]"
"🧠 ML Signal: Calculation of missing symbols, indicating a pattern of data comparison","[8582, 100, 254, 10373, 26484, 25, 2199, 14902, 286, 4814, 14354, 11, 12739, 257, 3912, 286, 1366, 7208]",0.5,336,ml_signal,63,"Calculation of missing symbols, indicating a pattern of data comparison",,336,,[]
⚠️ SAST Risk (Low): Logging potentially sensitive information,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 5972, 2667, 6196, 8564, 1321]",0.5,368,sast_risk,66,Logging potentially sensitive information,Low,336,    qlib_data_1d_dir = Path(qlib_data_1d_dir).expanduser().resolve(),"[220, 220, 220, 10662, 8019, 62, 7890, 62, 16, 67, 62, 15908, 796, 10644, 7, 80, 8019, 62, 7890, 62, 16, 67, 62, 15908, 737, 11201, 392, 7220, 22446, 411, 6442, 3419]"
⚠️ SAST Risk (Low): Logging potentially sensitive information,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 5972, 2667, 6196, 8564, 1321]",0.5,389,sast_risk,69,Logging potentially sensitive information,Low,368,    symbols_1min = get_symbols(data_1min_dir),"[220, 220, 220, 14354, 62, 16, 1084, 796, 651, 62, 1837, 2022, 10220, 7, 7890, 62, 16, 1084, 62, 15908, 8]"
"🧠 ML Signal: Reading CSV to get column information, indicating a pattern of data inspection","[8582, 100, 254, 10373, 26484, 25, 11725, 44189, 284, 651, 5721, 1321, 11, 12739, 257, 3912, 286, 1366, 15210]",0.5,414,ml_signal,71,"Reading CSV to get column information, indicating a pattern of data inspection",,389,    qlib.init(provider_uri=str(qlib_data_1d_dir)),"[220, 220, 220, 10662, 8019, 13, 15003, 7, 15234, 1304, 62, 9900, 28, 2536, 7, 80, 8019, 62, 7890, 62, 16, 67, 62, 15908, 4008]"
"🧠 ML Signal: Checking string case, indicating a pattern of data normalization","[8582, 100, 254, 10373, 26484, 25, 39432, 4731, 1339, 11, 12739, 257, 3912, 286, 1366, 3487, 1634]",1.0,425,ml_signal,75,"Checking string case, indicating a pattern of data normalization",,414,    if not miss_symbols:,"[220, 220, 220, 611, 407, 2051, 62, 1837, 2022, 10220, 25]"
"🧠 ML Signal: Generating a calendar from daily data, indicating a pattern of data transformation","[8582, 100, 254, 10373, 26484, 25, 2980, 803, 257, 11845, 422, 4445, 1366, 11, 12739, 257, 3912, 286, 1366, 13389]",0.5,457,ml_signal,80,"Generating a calendar from daily data, indicating a pattern of data transformation",,425,"    tmp_df = pd.read_csv(list(data_1min_dir.glob(""*.csv""))[0])","[220, 220, 220, 45218, 62, 7568, 796, 279, 67, 13, 961, 62, 40664, 7, 4868, 7, 7890, 62, 16, 1084, 62, 15908, 13, 4743, 672, 7203, 24620, 40664, 48774, 58, 15, 12962]"
"🧠 ML Signal: Creating a DataFrame with specific columns and index, indicating a pattern of data structuring","[8582, 100, 254, 10373, 26484, 25, 30481, 257, 6060, 19778, 351, 2176, 15180, 290, 6376, 11, 12739, 257, 3912, 286, 1366, 2878, 870]",0.5,489,ml_signal,80,"Creating a DataFrame with specific columns and index, indicating a pattern of data structuring",,457,"    tmp_df = pd.read_csv(list(data_1min_dir.glob(""*.csv""))[0])","[220, 220, 220, 45218, 62, 7568, 796, 279, 67, 13, 961, 62, 40664, 7, 4868, 7, 7890, 62, 16, 1084, 62, 15908, 13, 4743, 672, 7203, 24620, 40664, 48774, 58, 15, 12962]"
✅ Best Practice: Use of Path.joinpath for constructing file paths,"[26486, 227, 6705, 19939, 25, 5765, 286, 10644, 13, 22179, 6978, 329, 30580, 2393, 13532]",0.5,521,best_practice,80,Use of Path.joinpath for constructing file paths,,489,"    tmp_df = pd.read_csv(list(data_1min_dir.glob(""*.csv""))[0])","[220, 220, 220, 45218, 62, 7568, 796, 279, 67, 13, 961, 62, 40664, 7, 4868, 7, 7890, 62, 16, 1084, 62, 15908, 13, 4743, 672, 7203, 24620, 40664, 48774, 58, 15, 12962]"
⚠️ SAST Risk (Low): Potential command injection risk if input is not sanitized,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 3141, 16954, 2526, 611, 5128, 318, 407, 5336, 36951]",0.5,553,sast_risk,80,Potential command injection risk if input is not sanitized,Low,521,"    tmp_df = pd.read_csv(list(data_1min_dir.glob(""*.csv""))[0])","[220, 220, 220, 45218, 62, 7568, 796, 279, 67, 13, 961, 62, 40664, 7, 4868, 7, 7890, 62, 16, 1084, 62, 15908, 13, 4743, 672, 7203, 24620, 40664, 48774, 58, 15, 12962]"
