annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
🧠 ML Signal: Importing specific functions and classes indicates usage patterns and dependencies,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 290, 6097, 9217, 8748, 7572, 290, 20086]",0.5,18,ml_signal,10,Importing specific functions and classes indicates usage patterns and dependencies,,0,from zvt.utils.pd_utils import pd_is_not_null,"[6738, 1976, 36540, 13, 26791, 13, 30094, 62, 26791, 1330, 279, 67, 62, 271, 62, 1662, 62, 8423]"
✅ Best Practice: Grouping imports by functionality or source improves readability and maintainability,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 416, 11244, 393, 2723, 19575, 1100, 1799, 290, 5529, 1799]",0.5,40,best_practice,11,Grouping imports by functionality or source improves readability and maintainability,,18,"from zvt.utils.time_utils import to_time_str, TIME_FORMAT_DAY","[6738, 1976, 36540, 13, 26791, 13, 2435, 62, 26791, 1330, 284, 62, 2435, 62, 2536, 11, 20460, 62, 21389, 1404, 62, 26442]"
✅ Best Practice: Use of class attributes for configuration and metadata,"[26486, 227, 6705, 19939, 25, 5765, 286, 1398, 12608, 329, 8398, 290, 20150]",0.5,58,best_practice,10,Use of class attributes for configuration and metadata,,40,from zvt.utils.pd_utils import pd_is_not_null,"[6738, 1976, 36540, 13, 26791, 13, 30094, 62, 26791, 1330, 279, 67, 62, 271, 62, 1662, 62, 8423]"
✅ Best Practice: Use of class attributes for configuration and metadata,"[26486, 227, 6705, 19939, 25, 5765, 286, 1398, 12608, 329, 8398, 290, 20150]",0.5,58,best_practice,12,Use of class attributes for configuration and metadata,,58,,[]
✅ Best Practice: Use of class attributes for configuration and metadata,"[26486, 227, 6705, 19939, 25, 5765, 286, 1398, 12608, 329, 8398, 290, 20150]",0.5,72,best_practice,14,Use of class attributes for configuration and metadata,,58,class MarginTradingRecorder(TimeSeriesDataRecorder):,"[4871, 11899, 259, 2898, 4980, 6690, 2875, 7, 7575, 27996, 6601, 6690, 2875, 2599]"
✅ Best Practice: Use of class attributes for configuration and metadata,"[26486, 227, 6705, 19939, 25, 5765, 286, 1398, 12608, 329, 8398, 290, 20150]",0.5,81,best_practice,16,Use of class attributes for configuration and metadata,,72,    entity_schema = Stock,"[220, 220, 220, 9312, 62, 15952, 2611, 796, 10500]"
🧠 ML Signal: Function uses external data fetching and processing,"[8582, 100, 254, 10373, 26484, 25, 15553, 3544, 7097, 1366, 21207, 278, 290, 7587]",1.0,94,ml_signal,15,Function uses external data fetching and processing,,81,"    entity_provider = ""joinquant""","[220, 220, 220, 9312, 62, 15234, 1304, 796, 366, 7639, 18934, 415, 1]"
⚠️ SAST Risk (Low): Potential risk if get_mtss function does not handle input validation,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 2526, 611, 651, 62, 16762, 824, 2163, 857, 407, 5412, 5128, 21201]",0.5,94,sast_risk,17,Potential risk if get_mtss function does not handle input validation,Low,94,,[]
✅ Best Practice: Explicitly setting DataFrame columns for clarity,"[26486, 227, 6705, 19939, 25, 11884, 306, 4634, 6060, 19778, 15180, 329, 16287]",0.5,104,best_practice,19,Explicitly setting DataFrame columns for clarity,,94,"    provider = ""joinquant""","[220, 220, 220, 10131, 796, 366, 7639, 18934, 415, 1]"
✅ Best Practice: Using rename with inplace=True for efficient DataFrame modification,"[26486, 227, 6705, 19939, 25, 8554, 36265, 351, 287, 5372, 28, 17821, 329, 6942, 6060, 19778, 17613]",0.5,116,best_practice,21,Using rename with inplace=True for efficient DataFrame modification,,104,    data_schema = MarginTrading,"[220, 220, 220, 1366, 62, 15952, 2611, 796, 11899, 259, 2898, 4980]"
✅ Best Practice: Converting to datetime for consistent timestamp handling,"[26486, 227, 6705, 19939, 25, 35602, 889, 284, 4818, 8079, 329, 6414, 41033, 9041]",0.5,153,best_practice,24,Converting to datetime for consistent timestamp handling,,116,"        df = get_mtss(code=to_jq_entity_id(entity), date=to_time_str(start))","[220, 220, 220, 220, 220, 220, 220, 47764, 796, 651, 62, 16762, 824, 7, 8189, 28, 1462, 62, 73, 80, 62, 26858, 62, 312, 7, 26858, 828, 3128, 28, 1462, 62, 2435, 62, 2536, 7, 9688, 4008]"
