annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Importing division from __future__ ensures consistent division behavior across Python 2 and 3.,"[26486, 227, 6705, 19939, 25, 17267, 278, 7297, 422, 11593, 37443, 834, 19047, 6414, 7297, 4069, 1973, 11361, 362, 290, 513, 13]",1.0,6,best_practice,9,Importing division from __future__ ensures consistent division behavior across Python 2 and 3.,,0,from __future__ import division,"[6738, 11593, 37443, 834, 1330, 7297]"
⚠️ SAST Risk (Low): Using urllib2 in Python 2 can lead to compatibility issues. Consider using a library that supports both Python 2 and 3.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 8554, 2956, 297, 571, 17, 287, 11361, 362, 460, 1085, 284, 17764, 2428, 13, 12642, 1262, 257, 5888, 326, 6971, 1111, 11361, 362, 290, 513, 13]",0.5,10,sast_risk,28,Using urllib2 in Python 2 can lead to compatibility issues. Consider using a library that supports both Python 2 and 3.,Low,6,except ImportError:,"[16341, 17267, 12331, 25]"
⚠️ SAST Risk (Medium): Using urlopen without proper validation or sanitization of the URL can lead to security vulnerabilities.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 8554, 19016, 9654, 1231, 1774, 21201, 393, 5336, 270, 1634, 286, 262, 10289, 460, 1085, 284, 2324, 23805, 13]",0.5,14,sast_risk,66,Using urlopen without proper validation or sanitization of the URL can lead to security vulnerabilities.,Medium,10,    ,"[220, 220, 220, 220]"
⚠️ SAST Risk (Low): Catching broad exceptions can hide specific errors and make debugging difficult.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 327, 19775, 3154, 13269, 460, 7808, 2176, 8563, 290, 787, 28769, 2408, 13]",0.5,31,sast_risk,70,Catching broad exceptions can hide specific errors and make debugging difficult.,Low,14,            request = Request(url),"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 2581, 796, 19390, 7, 6371, 8]"
⚠️ SAST Risk (Medium): Using json.loads on data from an untrusted source can lead to security vulnerabilities.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 8554, 33918, 13, 46030, 319, 1366, 422, 281, 1418, 81, 8459, 2723, 460, 1085, 284, 2324, 23805, 13]",0.5,43,sast_risk,74,Using json.loads on data from an untrusted source can lead to security vulnerabilities.,Medium,31,        except Exception as e:,"[220, 220, 220, 220, 220, 220, 220, 2845, 35528, 355, 304, 25]"
✅ Best Practice: Using applymap for element-wise operations on DataFrame is efficient and readable.,"[26486, 227, 6705, 19939, 25, 8554, 4174, 8899, 329, 5002, 12, 3083, 4560, 319, 6060, 19778, 318, 6942, 290, 31744, 13]",1.0,72,best_practice,85,Using applymap for element-wise operations on DataFrame is efficient and readable.,,43,"            df = pd.DataFrame(js['record'], columns=cols)","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 47764, 796, 279, 67, 13, 6601, 19778, 7, 8457, 17816, 22105, 6, 4357, 15180, 28, 4033, 82, 8]"
✅ Best Practice: Explicitly converting data types ensures data consistency and prevents unexpected behavior.,"[26486, 227, 6705, 19939, 25, 11884, 306, 23202, 1366, 3858, 19047, 1366, 15794, 290, 15174, 10059, 4069, 13]",0.5,92,best_practice,89,Explicitly converting data types ensures data consistency and prevents unexpected behavior.,,72,            for col in cols[1:]:,"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 329, 951, 287, 951, 82, 58, 16, 25, 5974]"
✅ Best Practice: Setting the index to a meaningful column like 'date' improves data manipulation and access.,"[26486, 227, 6705, 19939, 25, 25700, 262, 6376, 284, 257, 11570, 5721, 588, 705, 4475, 6, 19575, 1366, 17512, 290, 1895, 13]",0.5,113,best_practice,97,Setting the index to a meaningful column like 'date' improves data manipulation and access.,,92,            df = df.set_index('date'),"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 47764, 796, 47764, 13, 2617, 62, 9630, 10786, 4475, 11537]"
✅ Best Practice: Sorting the DataFrame by index ensures that data is in a predictable order.,"[26486, 227, 6705, 19939, 25, 311, 24707, 262, 6060, 19778, 416, 6376, 19047, 326, 1366, 318, 287, 257, 20039, 1502, 13]",0.5,134,best_practice,97,Sorting the DataFrame by index ensures that data is in a predictable order.,,113,            df = df.set_index('date'),"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 47764, 796, 47764, 13, 2617, 62, 9630, 10786, 4475, 11537]"
⚠️ SAST Risk (Low): Raising a generic IOError without specific context can make error handling less informative.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 7567, 1710, 257, 14276, 24418, 12331, 1231, 2176, 4732, 460, 787, 4049, 9041, 1342, 30304, 13]",1.0,139,sast_risk,106,Raising a generic IOError without specific context can make error handling less informative.,Low,134,     Parameters,"[220, 220, 220, 220, 40117]"
✅ Best Practice: Consider using a logger instead of writing directly to the console for better control over logging levels and outputs.,"[26486, 227, 6705, 19939, 25, 12642, 1262, 257, 49706, 2427, 286, 3597, 3264, 284, 262, 8624, 329, 1365, 1630, 625, 18931, 2974, 290, 23862, 13]",1.0,144,best_practice,106,Consider using a logger instead of writing directly to the console for better control over logging levels and outputs.,,139,     Parameters,"[220, 220, 220, 220, 40117]"
⚠️ SAST Risk (Medium): Potential risk of URL injection if `types` or `page` are not properly sanitized.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 32480, 2526, 286, 10289, 16954, 611, 4600, 19199, 63, 393, 4600, 7700, 63, 389, 407, 6105, 5336, 36951, 13]",1.0,149,sast_risk,107,Potential risk of URL injection if `types` or `page` are not properly sanitized.,Medium,144,     ------,"[220, 220, 220, 220, 40103]"
⚠️ SAST Risk (Medium): The use of `urlopen` without proper exception handling can lead to unhandled exceptions.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 383, 779, 286, 4600, 6371, 9654, 63, 1231, 1774, 6631, 9041, 460, 1085, 284, 555, 38788, 13269, 13]",0.5,186,sast_risk,111,The use of `urlopen` without proper exception handling can lead to unhandled exceptions.,Medium,149,        DataFrame 当日所有股票交易数据(DataFrame),"[220, 220, 220, 220, 220, 220, 220, 6060, 19778, 10263, 121, 241, 33768, 98, 33699, 222, 17312, 231, 164, 224, 94, 163, 98, 101, 12859, 97, 23626, 241, 46763, 108, 162, 235, 106, 7, 6601, 19778, 8]"
✅ Best Practice: Compile regex patterns outside of frequently called functions to improve performance.,"[26486, 227, 6705, 19939, 25, 3082, 576, 40364, 7572, 2354, 286, 6777, 1444, 5499, 284, 2987, 2854, 13]",1.0,232,best_practice,115,Compile regex patterns outside of frequently called functions to improve performance.,,186,"                                 ct.PAGES['jv'], types, page))","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 269, 83, 13, 4537, 48075, 17816, 73, 85, 6, 4357, 3858, 11, 2443, 4008]"
⚠️ SAST Risk (Low): Using `text.decode('gbk')` without handling potential decoding errors can lead to exceptions.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 8554, 4600, 5239, 13, 12501, 1098, 10786, 22296, 74, 11537, 63, 1231, 9041, 2785, 39938, 8563, 460, 1085, 284, 13269, 13]",0.5,241,sast_risk,117,Using `text.decode('gbk')` without handling potential decoding errors can lead to exceptions.,Low,232,    if text == 'null':,"[220, 220, 220, 611, 2420, 6624, 705, 8423, 10354]"
🧠 ML Signal: Conditional logic based on Python version indicates compatibility handling.,"[8582, 100, 254, 10373, 26484, 25, 9724, 1859, 9156, 1912, 319, 11361, 2196, 9217, 17764, 9041, 13]",0.5,260,ml_signal,121,Conditional logic based on Python version indicates compatibility handling.,,241,"    text = text.replace('""{symbol', '{""symbol')","[220, 220, 220, 2420, 796, 2420, 13, 33491, 10786, 1, 90, 1837, 23650, 3256, 705, 4895, 1837, 23650, 11537]"
⚠️ SAST Risk (Low): The `encoding` parameter in `json.dumps` is deprecated in Python 3 and can lead to unexpected behavior.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 383, 4600, 12685, 7656, 63, 11507, 287, 4600, 17752, 13, 67, 8142, 63, 318, 39224, 287, 11361, 513, 290, 460, 1085, 284, 10059, 4069, 13]",1.0,265,sast_risk,125,The `encoding` parameter in `json.dumps` is deprecated in Python 3 and can lead to unexpected behavior.,Low,260,    else:,"[220, 220, 220, 2073, 25]"
⚠️ SAST Risk (Medium): Loading JSON data without validation can lead to security issues like JSON injection.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 12320, 19449, 1366, 1231, 21201, 460, 1085, 284, 2324, 2428, 588, 19449, 16954, 13]",0.5,277,sast_risk,127,Loading JSON data without validation can lead to security issues like JSON injection.,Medium,265,    js = json.loads(jstr),"[220, 220, 220, 44804, 796, 33918, 13, 46030, 7, 73, 2536, 8]"
🧠 ML Signal: Usage of `pd.DataFrame` indicates data processing and transformation.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 4600, 30094, 13, 6601, 19778, 63, 9217, 1366, 7587, 290, 13389, 13]",0.5,289,ml_signal,127,Usage of `pd.DataFrame` indicates data processing and transformation.,,277,    js = json.loads(jstr),"[220, 220, 220, 44804, 796, 33918, 13, 46030, 7, 73, 2536, 8]"
🧠 ML Signal: Dropping columns from DataFrame suggests data cleaning or feature selection.,"[8582, 100, 254, 10373, 26484, 25, 21045, 2105, 15180, 422, 6060, 19778, 5644, 1366, 12724, 393, 3895, 6356, 13]",0.5,301,ml_signal,127,Dropping columns from DataFrame suggests data cleaning or feature selection.,,289,    js = json.loads(jstr),"[220, 220, 220, 44804, 796, 33918, 13, 46030, 7, 73, 2536, 8]"
⚠️ SAST Risk (Low): Potential for NoneType error if 'src' is None or not in TICK_SRCS,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 329, 6045, 6030, 4049, 611, 705, 10677, 6, 318, 6045, 393, 407, 287, 309, 11860, 62, 50, 7397, 50]",1.0,322,sast_risk,145,Potential for NoneType error if 'src' is None or not in TICK_SRCS,Low,301,"        retry_count : int, 默认 3","[220, 220, 220, 220, 220, 220, 220, 1005, 563, 62, 9127, 1058, 493, 11, 16268, 119, 246, 164, 106, 97, 513]"
"🧠 ML Signal: Conversion of stock code to symbol, indicating financial data processing","[8582, 100, 254, 10373, 26484, 25, 44101, 286, 4283, 2438, 284, 6194, 11, 12739, 3176, 1366, 7587]",1.0,391,ml_signal,149,"Conversion of stock code to symbol, indicating financial data processing",,322,        src : 数据源选择，可输入sn(新浪)、tt(腾讯)、nt(网易)，默认sn,"[220, 220, 220, 220, 220, 220, 220, 12351, 1058, 10545, 243, 108, 162, 235, 106, 162, 118, 238, 34460, 231, 162, 233, 102, 171, 120, 234, 20998, 107, 164, 122, 241, 17739, 98, 16184, 7, 23877, 108, 38184, 103, 8, 23513, 926, 7, 164, 227, 122, 164, 106, 107, 8, 23513, 429, 7, 163, 121, 239, 23626, 241, 8, 171, 120, 234, 165, 119, 246, 164, 106, 97, 16184]"
"🧠 ML Signal: Conversion of stock code to symbol with digits, indicating financial data processing","[8582, 100, 254, 10373, 26484, 25, 44101, 286, 4283, 2438, 284, 6194, 351, 19561, 11, 12739, 3176, 1366, 7587]",1.0,396,ml_signal,151,"Conversion of stock code to symbol with digits, indicating financial data processing",,391,     -------,"[220, 220, 220, 220, 35656]"
"🧠 ML Signal: Date string manipulation, common in time-series data processing","[8582, 100, 254, 10373, 26484, 25, 7536, 4731, 17512, 11, 2219, 287, 640, 12, 25076, 1366, 7587]",1.0,401,ml_signal,151,"Date string manipulation, common in time-series data processing",,396,     -------,"[220, 220, 220, 220, 35656]"
"🧠 ML Signal: URL construction for data retrieval, indicating web scraping or API usage","[8582, 100, 254, 10373, 26484, 25, 10289, 5103, 329, 1366, 45069, 11, 12739, 3992, 46743, 393, 7824, 8748]",1.0,406,ml_signal,151,"URL construction for data retrieval, indicating web scraping or API usage",,401,     -------,"[220, 220, 220, 220, 35656]"
"🧠 ML Signal: Retry pattern, useful for training models on network reliability","[8582, 100, 254, 10373, 26484, 25, 4990, 563, 3912, 11, 4465, 329, 3047, 4981, 319, 3127, 17843]",1.0,473,ml_signal,164,"Retry pattern, useful for training models on network reliability",,406,"            ct.TICK_SRCS[1] : ct.TICK_PRICE_URL_TT % (ct.P_TYPE['http'], ct.DOMAINS['tt'], ct.PAGES['idx'],","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 269, 83, 13, 51, 11860, 62, 50, 7397, 50, 58, 16, 60, 1058, 269, 83, 13, 51, 11860, 62, 4805, 8476, 62, 21886, 62, 15751, 4064, 357, 310, 13, 47, 62, 25216, 17816, 4023, 6, 4357, 269, 83, 13, 39170, 32, 20913, 17816, 926, 6, 4357, 269, 83, 13, 4537, 48075, 17816, 312, 87, 6, 4357]"
"⚠️ SAST Risk (Low): Potential for high-frequency requests, consider increasing pause","[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 329, 1029, 12, 35324, 7007, 11, 2074, 3649, 14985]",1.0,537,sast_risk,166,"Potential for high-frequency requests, consider increasing pause",Low,473,"            ct.TICK_SRCS[2] : ct.TICK_PRICE_URL_NT % (ct.P_TYPE['http'], ct.DOMAINS['163'], date[0:4], ","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 269, 83, 13, 51, 11860, 62, 50, 7397, 50, 58, 17, 60, 1058, 269, 83, 13, 51, 11860, 62, 4805, 8476, 62, 21886, 62, 11251, 4064, 357, 310, 13, 47, 62, 25216, 17816, 4023, 6, 4357, 269, 83, 13, 39170, 32, 20913, 17816, 24136, 6, 4357, 3128, 58, 15, 25, 19, 4357, 220]"
"⚠️ SAST Risk (Medium): Reading from URL without validation, potential for malicious input","[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 11725, 422, 10289, 1231, 21201, 11, 2785, 329, 17412, 5128]",1.0,550,sast_risk,170,"Reading from URL without validation, potential for malicious input",Medium,537,        time.sleep(pause),"[220, 220, 220, 220, 220, 220, 220, 640, 13, 42832, 7, 32125, 8]"
"⚠️ SAST Risk (Medium): Requesting URL without validation, potential for malicious input","[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 19390, 278, 10289, 1231, 21201, 11, 2785, 329, 17412, 5128]",1.0,579,sast_risk,174,"Requesting URL without validation, potential for malicious input",Medium,550,                df.columns = ct.TICK_COLUMNS,"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 47764, 13, 28665, 82, 796, 269, 83, 13, 51, 11860, 62, 25154, 5883, 8035]"
"⚠️ SAST Risk (Medium): Opening URL without validation, potential for malicious input","[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 25522, 10289, 1231, 21201, 11, 2785, 329, 17412, 5128]",1.0,602,sast_risk,176,"Opening URL without validation, potential for malicious input",Medium,579,                re = Request(url[src]),"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 302, 796, 19390, 7, 6371, 58, 10677, 12962]"
"⚠️ SAST Risk (Low): Decoding with specific encoding, potential for encoding issues","[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 4280, 7656, 351, 2176, 21004, 11, 2785, 329, 21004, 2428]",1.0,628,sast_risk,178,"Decoding with specific encoding, potential for encoding issues",Low,602,                lines = lines.decode('GBK') ,"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 3951, 796, 3951, 13, 12501, 1098, 10786, 4579, 42, 11537, 220]"
"⚠️ SAST Risk (Low): Reading from StringIO without validation, potential for malformed data","[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 11725, 422, 10903, 9399, 1231, 21201, 11, 2785, 329, 6428, 12214, 1366]",1.0,651,sast_risk,179,"Reading from StringIO without validation, potential for malformed data",Low,628,                if len(lines) < 20:,"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 611, 18896, 7, 6615, 8, 1279, 1160, 25]"
"✅ Best Practice: Logging exceptions instead of printing, for better error tracking","[26486, 227, 6705, 19939, 25, 5972, 2667, 13269, 2427, 286, 13570, 11, 329, 1365, 4049, 9646]",1.0,674,best_practice,179,"Logging exceptions instead of printing, for better error tracking",,651,                if len(lines) < 20:,"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 611, 18896, 7, 6615, 8, 1279, 1160, 25]"
"⚠️ SAST Risk (Low): Raising generic IOError, consider using more specific exception","[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 7567, 1710, 14276, 24418, 12331, 11, 2074, 1262, 517, 2176, 6631]",1.0,708,sast_risk,196,"Raising generic IOError, consider using more specific exception",Low,674,                  股票代码 e.g. 600848,"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 5525, 224, 94, 163, 98, 101, 47987, 163, 254, 223, 304, 13, 70, 13, 10053, 23, 2780]"
✅ Best Practice: Validate input parameters to ensure they meet expected formats and constraints,"[26486, 227, 6705, 19939, 25, 3254, 20540, 5128, 10007, 284, 4155, 484, 1826, 2938, 17519, 290, 17778]",0.5,742,best_practice,196,Validate input parameters to ensure they meet expected formats and constraints,,708,                  股票代码 e.g. 600848,"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 5525, 224, 94, 163, 98, 101, 47987, 163, 254, 223, 304, 13, 70, 13, 10053, 23, 2780]"
"🧠 ML Signal: Conversion of stock code to symbol, indicating usage of financial data","[8582, 100, 254, 10373, 26484, 25, 44101, 286, 4283, 2438, 284, 6194, 11, 12739, 8748, 286, 3176, 1366]",1.0,763,ml_signal,199,"Conversion of stock code to symbol, indicating usage of financial data",,742,"        retry_count : int, 默认 3","[220, 220, 220, 220, 220, 220, 220, 1005, 563, 62, 9127, 1058, 493, 11, 16268, 119, 246, 164, 106, 97, 513]"
"🧠 ML Signal: Volume conversion, indicating financial data processing","[8582, 100, 254, 10373, 26484, 25, 14701, 11315, 11, 12739, 3176, 1366, 7587]",1.0,781,ml_signal,201,"Volume conversion, indicating financial data processing",,763,"        pause : int, 默认 0","[220, 220, 220, 220, 220, 220, 220, 14985, 1058, 493, 11, 16268, 119, 246, 164, 106, 97, 657]"
⚠️ SAST Risk (Low): Potential for tight loop causing high CPU usage without sufficient pause,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 329, 5381, 9052, 6666, 1029, 9135, 8748, 1231, 6751, 14985]",1.0,786,sast_risk,203,Potential for tight loop causing high CPU usage without sufficient pause,Low,781,     return,"[220, 220, 220, 220, 1441]"
⚠️ SAST Risk (Medium): Potential for URL injection if `ct.SINA_DD` is not properly sanitized,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 32480, 329, 10289, 16954, 611, 4600, 310, 13, 50, 28893, 62, 16458, 63, 318, 407, 6105, 5336, 36951]",1.0,790,sast_risk,207,Potential for URL injection if `ct.SINA_DD` is not properly sanitized,Medium,786,"    """"""","[220, 220, 220, 37227]"
⚠️ SAST Risk (Medium): Network operation without exception handling for specific network errors,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 7311, 4905, 1231, 6631, 9041, 329, 2176, 3127, 8563]",1.0,799,sast_risk,209,Network operation without exception handling for specific network errors,Medium,790,        return None,"[220, 220, 220, 220, 220, 220, 220, 1441, 6045]"
"⚠️ SAST Risk (Low): Assumes the response is always encoded in 'GBK', which might not be the case","[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 2195, 8139, 262, 2882, 318, 1464, 30240, 287, 705, 4579, 42, 3256, 543, 1244, 407, 307, 262, 1339]",0.5,812,sast_risk,212,"Assumes the response is always encoded in 'GBK', which might not be the case",Low,799,    for _ in range(retry_count):,"[220, 220, 220, 329, 4808, 287, 2837, 7, 1186, 563, 62, 9127, 2599]"
⚠️ SAST Risk (Low): Assumes CSV format is always correct and does not handle parsing errors,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 2195, 8139, 44189, 5794, 318, 1464, 3376, 290, 857, 407, 5412, 32096, 8563]",0.5,849,sast_risk,216,Assumes CSV format is always correct and does not handle parsing errors,Low,812,"                                symbol, vol, date))","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 6194, 11, 2322, 11, 3128, 4008]"
"🧠 ML Signal: Mapping function applied to DataFrame, indicating data transformation","[8582, 100, 254, 10373, 26484, 25, 337, 5912, 2163, 5625, 284, 6060, 19778, 11, 12739, 1366, 13389]",0.5,868,ml_signal,219,"Mapping function applied to DataFrame, indicating data transformation",,849,            if len(lines) < 100:,"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 611, 18896, 7, 6615, 8, 1279, 1802, 25]"
"⚠️ SAST Risk (Low): Generic exception handling, which may hide specific errors","[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 42044, 6631, 9041, 11, 543, 743, 7808, 2176, 8563]",1.0,887,sast_risk,219,"Generic exception handling, which may hide specific errors",Low,868,            if len(lines) < 100:,"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 611, 18896, 7, 6615, 8, 1279, 1802, 25]"
"⚠️ SAST Risk (Medium): Raises a generic IOError, which may not accurately describe the error context","[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 7567, 2696, 257, 14276, 24418, 12331, 11, 543, 743, 407, 14351, 6901, 262, 4049, 4732]",0.5,918,sast_risk,234,"Raises a generic IOError, which may not accurately describe the error context",Medium,887,        获取当日分笔明细数据,"[220, 220, 220, 220, 220, 220, 220, 5525, 236, 115, 20998, 244, 37605, 241, 33768, 98, 26344, 228, 163, 105, 242, 23626, 236, 163, 119, 228, 46763, 108, 162, 235, 106]"
"🧠 ML Signal: Function with multiple parameters, including optional ones with default values","[8582, 100, 254, 10373, 26484, 25, 15553, 351, 3294, 10007, 11, 1390, 11902, 3392, 351, 4277, 3815]",0.5,940,ml_signal,218,"Function with multiple parameters, including optional ones with default values",,918,            lines = lines.decode('GBK') ,"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 3951, 796, 3951, 13, 12501, 1098, 10786, 4579, 42, 11537, 220]"
⚠️ SAST Risk (Low): Potential NoneType dereference if code is None,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 6045, 6030, 390, 35790, 611, 2438, 318, 6045]",0.5,944,sast_risk,235,Potential NoneType dereference if code is None,Low,940,    Parameters,"[220, 220, 220, 40117]"
🧠 ML Signal: Conversion of stock code to symbol,"[8582, 100, 254, 10373, 26484, 25, 44101, 286, 4283, 2438, 284, 6194]",0.5,978,ml_signal,238,Conversion of stock code to symbol,,944,                  股票代码 e.g. 600848,"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 5525, 224, 94, 163, 98, 101, 47987, 163, 254, 223, 304, 13, 70, 13, 10053, 23, 2780]"
🧠 ML Signal: Usage of current date in function,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 1459, 3128, 287, 2163]",0.5,1028,ml_signal,240,Usage of current date in function,,978,                  如遇网络等问题重复执行的次数,"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 10263, 99, 224, 34402, 229, 163, 121, 239, 163, 119, 250, 163, 255, 231, 29785, 106, 165, 95, 246, 34932, 235, 13783, 235, 33699, 100, 26193, 234, 21410, 162, 105, 94, 46763, 108]"
