annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
"🧠 ML Signal: Class definition with inheritance, useful for understanding class hierarchies and relationships","[8582, 100, 254, 10373, 26484, 25, 5016, 6770, 351, 24155, 11, 4465, 329, 4547, 1398, 28398, 444, 290, 6958]",1.0,11,ml_signal,7,"Class definition with inheritance, useful for understanding class hierarchies and relationships",,0,from zvt.utils.utils import to_float,"[6738, 1976, 36540, 13, 26791, 13, 26791, 1330, 284, 62, 22468]"
"🧠 ML Signal: Class attribute definition, useful for understanding default values and configurations","[8582, 100, 254, 10373, 26484, 25, 5016, 11688, 6770, 11, 4465, 329, 4547, 4277, 3815, 290, 25412]",1.0,11,ml_signal,9,"Class attribute definition, useful for understanding default values and configurations",,11,,[]
"🧠 ML Signal: URL definition, useful for understanding network interactions and API usage","[8582, 100, 254, 10373, 26484, 25, 10289, 6770, 11, 4465, 329, 4547, 3127, 12213, 290, 7824, 8748]",1.0,23,ml_signal,11,"URL definition, useful for understanding network interactions and API usage",,11,    data_schema = RightsIssueDetail,"[220, 220, 220, 1366, 62, 15952, 2611, 796, 6923, 45147, 11242, 603]"
"✅ Best Practice: Reuse of URL variable, improves maintainability and reduces errors","[26486, 227, 6705, 19939, 25, 797, 1904, 286, 10289, 7885, 11, 19575, 5529, 1799, 290, 12850, 8563]",1.0,59,best_practice,13,"Reuse of URL variable, improves maintainability and reduces errors",,23,"    url = ""https://emh5.eastmoney.com/api/FenHongRongZi/GetPeiGuMingXiList""","[220, 220, 220, 19016, 796, 366, 5450, 1378, 368, 71, 20, 13, 23316, 26316, 13, 785, 14, 15042, 14, 37, 268, 48559, 49, 506, 57, 72, 14, 3855, 6435, 72, 8205, 44, 278, 42528, 8053, 1]"
"🧠 ML Signal: Path fields definition, useful for understanding data extraction patterns","[8582, 100, 254, 10373, 26484, 25, 10644, 7032, 6770, 11, 4465, 329, 4547, 1366, 22236, 7572]",1.0,75,ml_signal,15,"Path fields definition, useful for understanding data extraction patterns",,59,"    path_fields = [""PeiGuMingXiList""]","[220, 220, 220, 3108, 62, 25747, 796, 14631, 6435, 72, 8205, 44, 278, 42528, 8053, 8973]"
✅ Best Practice: Method name should be descriptive of its purpose or action,"[26486, 227, 6705, 19939, 25, 11789, 1438, 815, 307, 35644, 286, 663, 4007, 393, 2223]",0.5,75,best_practice,12,Method name should be descriptive of its purpose or action,,75,,[]
"🧠 ML Signal: Returns a hardcoded string, indicating a fixed mapping or constant","[8582, 100, 254, 10373, 26484, 25, 16409, 257, 1327, 40976, 4731, 11, 12739, 257, 5969, 16855, 393, 6937]",1.0,83,ml_signal,14,"Returns a hardcoded string, indicating a fixed mapping or constant",,75,    page_url = url,"[220, 220, 220, 2443, 62, 6371, 796, 19016]"
✅ Best Practice: Use of a method to encapsulate and return a dictionary improves readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 257, 2446, 284, 32652, 5039, 290, 1441, 257, 22155, 19575, 1100, 1799, 290, 5529, 1799, 13]",1.0,91,best_practice,14,Use of a method to encapsulate and return a dictionary improves readability and maintainability.,,83,    page_url = url,"[220, 220, 220, 2443, 62, 6371, 796, 19016]"
"🧠 ML Signal: Use of a dictionary to map keys to tuples, indicating a pattern of structured data transformation.","[8582, 100, 254, 10373, 26484, 25, 5765, 286, 257, 22155, 284, 3975, 8251, 284, 12777, 2374, 11, 12739, 257, 3912, 286, 20793, 1366, 13389, 13]",1.0,107,ml_signal,15,"Use of a dictionary to map keys to tuples, indicating a pattern of structured data transformation.",,91,"    path_fields = [""PeiGuMingXiList""]","[220, 220, 220, 3108, 62, 25747, 796, 14631, 6435, 72, 8205, 44, 278, 42528, 8053, 8973]"
"🧠 ML Signal: Mapping of string keys to tuples with a function, indicating a pattern of data processing.","[8582, 100, 254, 10373, 26484, 25, 337, 5912, 286, 4731, 8251, 284, 12777, 2374, 351, 257, 2163, 11, 12739, 257, 3912, 286, 1366, 7587, 13]",1.0,126,ml_signal,18,"Mapping of string keys to tuples with a function, indicating a pattern of data processing.",,107,"        return ""PeiGuGongGaoRi""","[220, 220, 220, 220, 220, 220, 220, 1441, 366, 6435, 72, 8205, 38, 506, 38, 5488, 49, 72, 1]"
