annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
🧠 ML Signal: Custom logging setup can indicate specific logging practices,"[8582, 100, 254, 10373, 26484, 25, 8562, 18931, 9058, 460, 7603, 2176, 18931, 6593]",0.5,3,ml_signal,7,Custom logging setup can indicate specific logging practices,,0,import contextlib,"[11748, 4732, 8019]"
🧠 ML Signal: Custom logger usage can indicate specific logging practices,"[8582, 100, 254, 10373, 26484, 25, 8562, 49706, 8748, 460, 7603, 2176, 18931, 6593]",0.5,8,ml_signal,9,Custom logger usage can indicate specific logging practices,,3,from pathlib import Path,"[6738, 3108, 8019, 1330, 10644]"
✅ Best Practice: Check if path is provided to determine the operation,"[26486, 227, 6705, 19939, 25, 6822, 611, 3108, 318, 2810, 284, 5004, 262, 4905]",1.0,34,best_practice,16,Check if path is provided to determine the operation,,8,"def get_or_create_path(path: Optional[Text] = None, return_dir: bool = False):","[4299, 651, 62, 273, 62, 17953, 62, 6978, 7, 6978, 25, 32233, 58, 8206, 60, 796, 6045, 11, 1441, 62, 15908, 25, 20512, 796, 10352, 2599]"
✅ Best Practice: Check if directory needs to be created,"[26486, 227, 6705, 19939, 25, 6822, 611, 8619, 2476, 284, 307, 2727]",0.5,34,best_practice,18,Check if directory needs to be created,,34,,[]
⚠️ SAST Risk (Low): Potential directory traversal if path is user-controlled,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 8619, 33038, 282, 611, 3108, 318, 2836, 12, 14401]",1.0,38,sast_risk,19,Potential directory traversal if path is user-controlled,Low,34,    Parameters,"[220, 220, 220, 40117]"
✅ Best Practice: Use os.makedirs to create directories,"[26486, 227, 6705, 19939, 25, 5765, 28686, 13, 76, 4335, 17062, 284, 2251, 29196]",0.5,56,best_practice,21,Use os.makedirs to create directories,,38,    path: a string indicates the path or None indicates creating a temporary path.,"[220, 220, 220, 3108, 25, 257, 4731, 9217, 262, 3108, 393, 6045, 9217, 4441, 257, 8584, 3108, 13]"
✅ Best Practice: Use os.path.abspath to get absolute path,"[26486, 227, 6705, 19939, 25, 5765, 28686, 13, 6978, 13, 397, 2777, 776, 284, 651, 4112, 3108]",1.0,60,best_practice,24,Use os.path.abspath to get absolute path,,56,"    """"""","[220, 220, 220, 37227]"
✅ Best Practice: Check if directory needs to be created,"[26486, 227, 6705, 19939, 25, 6822, 611, 8619, 2476, 284, 307, 2727]",0.5,82,best_practice,26,Check if directory needs to be created,,60,        if return_dir and not os.path.exists(path):,"[220, 220, 220, 220, 220, 220, 220, 611, 1441, 62, 15908, 290, 407, 28686, 13, 6978, 13, 1069, 1023, 7, 6978, 2599]"
✅ Best Practice: Use os.path.expanduser to handle user directories,"[26486, 227, 6705, 19939, 25, 5765, 28686, 13, 6978, 13, 11201, 392, 7220, 284, 5412, 2836, 29196]",1.0,105,best_practice,30,Use os.path.expanduser to handle user directories,,82,            if not os.path.exists(xpath):,"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 611, 407, 28686, 13, 6978, 13, 1069, 1023, 7, 87, 6978, 2599]"
✅ Best Practice: Check if directory needs to be created,"[26486, 227, 6705, 19939, 25, 6822, 611, 8619, 2476, 284, 307, 2727]",0.5,129,best_practice,31,Check if directory needs to be created,,105,                os.makedirs(xpath),"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 28686, 13, 76, 4335, 17062, 7, 87, 6978, 8]"
🧠 ML Signal: Use of tempfile.mkdtemp for temporary directory creation,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 20218, 7753, 13, 28015, 67, 29510, 329, 8584, 8619, 6282]",0.5,149,ml_signal,34,Use of tempfile.mkdtemp for temporary directory creation,,129,        if not os.path.exists(temp_dir):,"[220, 220, 220, 220, 220, 220, 220, 611, 407, 28686, 13, 6978, 13, 1069, 1023, 7, 29510, 62, 15908, 2599]"
🧠 ML Signal: Use of tempfile.mkstemp for temporary file creation,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 20218, 7753, 13, 28015, 927, 79, 329, 8584, 2393, 6282]",0.5,169,ml_signal,34,Use of tempfile.mkstemp for temporary file creation,,149,        if not os.path.exists(temp_dir):,"[220, 220, 220, 220, 220, 220, 220, 611, 407, 28686, 13, 6978, 13, 1069, 1023, 7, 29510, 62, 15908, 2599]"
✅ Best Practice: Use contextlib.contextmanager for resource management,"[26486, 227, 6705, 19939, 25, 5765, 4732, 8019, 13, 22866, 37153, 329, 8271, 4542]",1.0,189,best_practice,34,Use contextlib.contextmanager for resource management,,169,        if not os.path.exists(temp_dir):,"[220, 220, 220, 220, 220, 220, 220, 611, 407, 28686, 13, 6978, 13, 1069, 1023, 7, 29510, 62, 15908, 2599]"
✅ Best Practice: Use of os.path.expanduser to handle user directories,"[26486, 227, 6705, 19939, 25, 5765, 286, 28686, 13, 6978, 13, 11201, 392, 7220, 284, 5412, 2836, 29196]",1.0,189,best_practice,53,Use of os.path.expanduser to handle user directories,,189,,[]
✅ Best Practice: Use of os.path.abspath to get the absolute path,"[26486, 227, 6705, 19939, 25, 5765, 286, 28686, 13, 6978, 13, 397, 2777, 776, 284, 651, 262, 4112, 3108]",0.5,198,best_practice,56,Use of os.path.abspath to get the absolute path,,189,    :return: real model path,"[220, 220, 220, 1058, 7783, 25, 1103, 2746, 3108]"
⚠️ SAST Risk (Low): Potential race condition if file_path is created between exists check and makedirs,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 3234, 4006, 611, 2393, 62, 6978, 318, 2727, 1022, 7160, 2198, 290, 285, 4335, 17062]",0.5,203,sast_risk,58,Potential race condition if file_path is created between exists check and makedirs,Low,198,    Usage::,"[220, 220, 220, 29566, 3712]"
✅ Best Practice: Use of os.makedirs to create directories,"[26486, 227, 6705, 19939, 25, 5765, 286, 28686, 13, 76, 4335, 17062, 284, 2251, 29196]",0.5,233,best_practice,61,Use of os.makedirs to create directories,,203,        >>> with save_multiple_parts_file('~/tmp/test_file') as filename_dir:,"[220, 220, 220, 220, 220, 220, 220, 13163, 351, 3613, 62, 48101, 62, 42632, 62, 7753, 10786, 93, 14, 22065, 14, 9288, 62, 7753, 11537, 355, 29472, 62, 15908, 25]"
🧠 ML Signal: Use of yield indicates a generator function,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 7800, 9217, 257, 17301, 2163]",0.5,274,ml_signal,63,Use of yield indicates a generator function,,233,"        ...       temp_path = os.path.join(filename_dir, 'test_doc_{}'.format(str(i)))","[220, 220, 220, 220, 220, 220, 220, 2644, 220, 220, 220, 220, 220, 220, 20218, 62, 6978, 796, 28686, 13, 6978, 13, 22179, 7, 34345, 62, 15908, 11, 705, 9288, 62, 15390, 23330, 92, 4458, 18982, 7, 2536, 7, 72, 22305]"
✅ Best Practice: Use of shutil.make_archive for archiving directories,"[26486, 227, 6705, 19939, 25, 5765, 286, 4423, 346, 13, 15883, 62, 17474, 329, 3934, 1412, 29196]",0.5,301,best_practice,65,Use of shutil.make_archive for archiving directories,,274,        ...           fp.write(str(i)),"[220, 220, 220, 220, 220, 220, 220, 2644, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 277, 79, 13, 13564, 7, 2536, 7, 72, 4008]"
⚠️ SAST Risk (Low): Potential race condition if file_path is deleted between exists check and rmtree,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 3234, 4006, 611, 2393, 62, 6978, 318, 13140, 1022, 7160, 2198, 290, 374, 16762, 631]",0.5,309,sast_risk,66,Potential race condition if file_path is deleted between exists check and rmtree,Low,301,        ...,"[220, 220, 220, 220, 220, 220, 220, 2644]"
✅ Best Practice: Use of shutil.rmtree to remove directories,"[26486, 227, 6705, 19939, 25, 5765, 286, 4423, 346, 13, 81, 16762, 631, 284, 4781, 29196]",0.5,317,best_practice,66,Use of shutil.rmtree to remove directories,,309,        ...,"[220, 220, 220, 220, 220, 220, 220, 2644]"
✅ Best Practice: Use of os.rename to rename files,"[26486, 227, 6705, 19939, 25, 5765, 286, 28686, 13, 918, 480, 284, 36265, 3696]",0.5,325,best_practice,66,Use of os.rename to rename files,,317,        ...,"[220, 220, 220, 220, 220, 220, 220, 2644]"
✅ Best Practice: Use of contextlib.contextmanager for resource management,"[26486, 227, 6705, 19939, 25, 5765, 286, 4732, 8019, 13, 22866, 37153, 329, 8271, 4542]",1.0,333,best_practice,66,Use of contextlib.contextmanager for resource management,,325,        ...,"[220, 220, 220, 220, 220, 220, 220, 2644]"
✅ Best Practice: Use of os.path.expanduser to handle user directories,"[26486, 227, 6705, 19939, 25, 5765, 286, 28686, 13, 6978, 13, 11201, 392, 7220, 284, 5412, 2836, 29196]",1.0,340,best_practice,87,Use of os.path.expanduser to handle user directories,,333,    # Remove filename dir,"[220, 220, 220, 1303, 17220, 29472, 26672]"
⚠️ SAST Risk (Low): Potential race condition if directory is created/deleted by another process,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 3234, 4006, 611, 8619, 318, 2727, 14, 2934, 33342, 416, 1194, 1429]",0.5,358,sast_risk,89,Potential race condition if directory is created/deleted by another process,Low,340,        shutil.rmtree(file_path),"[220, 220, 220, 220, 220, 220, 220, 4423, 346, 13, 81, 16762, 631, 7, 7753, 62, 6978, 8]"
✅ Best Practice: Use of NamedTemporaryFile for temporary file creation,"[26486, 227, 6705, 19939, 25, 5765, 286, 34441, 12966, 5551, 8979, 329, 8584, 2393, 6282]",1.0,374,best_practice,92,Use of NamedTemporaryFile for temporary file creation,,358,"    os.rename(tar_file, file_path)","[220, 220, 220, 28686, 13, 918, 480, 7, 18870, 62, 7753, 11, 2393, 62, 6978, 8]"
⚠️ SAST Risk (Low): os.rename can fail if the target file exists,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 28686, 13, 918, 480, 460, 2038, 611, 262, 2496, 2393, 7160]",0.5,392,sast_risk,98,os.rename can fail if the target file exists,Low,374,"    After the call is finished, the archive file and directory will be deleted.","[220, 220, 220, 2293, 262, 869, 318, 5201, 11, 262, 15424, 2393, 290, 8619, 481, 307, 13140, 13]"
⚠️ SAST Risk (Low): Potential race condition if directory is created/deleted by another process,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 3234, 4006, 611, 8619, 318, 2727, 14, 2934, 33342, 416, 1194, 1429]",0.5,398,sast_risk,100,Potential race condition if directory is created/deleted by another process,Low,392,    Implementation process:,"[220, 220, 220, 46333, 1429, 25]"
⚠️ SAST Risk (Medium): shutil.unpack_archive can overwrite files in the target directory,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 4423, 346, 13, 403, 8002, 62, 17474, 460, 49312, 3696, 287, 262, 2496, 8619]",0.5,416,sast_risk,102,shutil.unpack_archive can overwrite files in the target directory,Medium,398,        2. 'buffer' write to 'tempfile',"[220, 220, 220, 220, 220, 220, 220, 362, 13, 705, 22252, 6, 3551, 284, 705, 29510, 7753, 6]"
✅ Best Practice: Logging exceptions for debugging purposes,"[26486, 227, 6705, 19939, 25, 5972, 2667, 13269, 329, 28769, 4959]",1.0,436,best_practice,105,Logging exceptions for debugging purposes,,416,        5. remove 'tempfile' and 'tempfile directory',"[220, 220, 220, 220, 220, 220, 220, 642, 13, 4781, 705, 29510, 7753, 6, 290, 705, 29510, 7753, 8619, 6]"
⚠️ SAST Risk (Low): os.unlink can fail if the file does not exist,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 28686, 13, 403, 8726, 460, 2038, 611, 262, 2393, 857, 407, 2152]",0.5,447,sast_risk,109,os.unlink can fail if the file does not exist,Low,436,    :return: unpack archive directory path,"[220, 220, 220, 1058, 7783, 25, 555, 8002, 15424, 8619, 3108]"
⚠️ SAST Risk (Low): shutil.rmtree can fail if the directory does not exist,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 4423, 346, 13, 81, 16762, 631, 460, 2038, 611, 262, 8619, 857, 407, 2152]",0.5,447,sast_risk,112,shutil.rmtree can fail if the directory does not exist,Low,447,,[]
✅ Best Practice: Use of contextlib.contextmanager for resource management,"[26486, 227, 6705, 19939, 25, 5765, 286, 4732, 8019, 13, 22866, 37153, 329, 8271, 4542]",1.0,471,best_practice,114,Use of contextlib.contextmanager for resource management,,447,        >>> with open('test_unpack.tar.gz') as fp:,"[220, 220, 220, 220, 220, 220, 220, 13163, 351, 1280, 10786, 9288, 62, 403, 8002, 13, 18870, 13, 34586, 11537, 355, 277, 79, 25]"
✅ Best Practice: Use os.path.expanduser to handle user directories correctly,"[26486, 227, 6705, 19939, 25, 5765, 28686, 13, 6978, 13, 11201, 392, 7220, 284, 5412, 2836, 29196, 9380]",1.0,504,best_practice,108,Use os.path.expanduser to handle user directories correctly,,471,"    :param format: archive format: one of ""zip"", ""tar"", ""gztar"", ""bztar"", or ""xztar""","[220, 220, 220, 1058, 17143, 5794, 25, 15424, 5794, 25, 530, 286, 366, 13344, 1600, 366, 18870, 1600, 366, 34586, 18870, 1600, 366, 65, 89, 18870, 1600, 393, 366, 87, 89, 18870, 1]"
⚠️ SAST Risk (Low): Potential directory traversal if temp_dir is influenced by user input,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 8619, 33038, 282, 611, 20218, 62, 15908, 318, 12824, 416, 2836, 5128]",1.0,504,sast_risk,110,Potential directory traversal if temp_dir is influenced by user input,Low,504,,[]
✅ Best Practice: Use os.makedirs to ensure the directory is created if it doesn't exist,"[26486, 227, 6705, 19939, 25, 5765, 28686, 13, 76, 4335, 17062, 284, 4155, 262, 8619, 318, 2727, 611, 340, 1595, 470, 2152]",0.5,504,best_practice,112,Use os.makedirs to ensure the directory is created if it doesn't exist,,504,,[]
⚠️ SAST Risk (Low): Using a predictable temporary directory can lead to security risks,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 8554, 257, 20039, 8584, 8619, 460, 1085, 284, 2324, 7476]",0.5,528,sast_risk,114,Using a predictable temporary directory can lead to security risks,Low,504,        >>> with open('test_unpack.tar.gz') as fp:,"[220, 220, 220, 220, 220, 220, 220, 13163, 351, 1280, 10786, 9288, 62, 403, 8002, 13, 18870, 13, 34586, 11537, 355, 277, 79, 25]"
🧠 ML Signal: Writing buffer data to a temporary file,"[8582, 100, 254, 10373, 26484, 25, 22183, 11876, 1366, 284, 257, 8584, 2393]",1.0,536,ml_signal,116,Writing buffer data to a temporary file,,528,        ...,"[220, 220, 220, 220, 220, 220, 220, 2644]"
🧠 ML Signal: Yielding file path for further processing,"[8582, 100, 254, 10373, 26484, 25, 575, 30449, 2393, 3108, 329, 2252, 7587]",1.0,561,ml_signal,117,Yielding file path for further processing,,536,        >>> with unpack_archive_with_buffer(buffer) as temp_dir:,"[220, 220, 220, 220, 220, 220, 220, 13163, 351, 555, 8002, 62, 17474, 62, 4480, 62, 22252, 7, 22252, 8, 355, 20218, 62, 15908, 25]"
✅ Best Practice: Use contextlib.contextmanager for resource management,"[26486, 227, 6705, 19939, 25, 5765, 4732, 8019, 13, 22866, 37153, 329, 8271, 4542]",1.0,586,best_practice,117,Use contextlib.contextmanager for resource management,,561,        >>> with unpack_archive_with_buffer(buffer) as temp_dir:,"[220, 220, 220, 220, 220, 220, 220, 13163, 351, 555, 8002, 62, 17474, 62, 4480, 62, 22252, 7, 22252, 8, 355, 20218, 62, 15908, 25]"
✅ Best Practice: Docstring provides a clear description of the function's purpose and parameters,"[26486, 227, 6705, 19939, 25, 14432, 8841, 3769, 257, 1598, 6764, 286, 262, 2163, 338, 4007, 290, 10007]",0.5,611,best_practice,117,Docstring provides a clear description of the function's purpose and parameters,,586,        >>> with unpack_archive_with_buffer(buffer) as temp_dir:,"[220, 220, 220, 220, 220, 220, 220, 13163, 351, 555, 8002, 62, 17474, 62, 4480, 62, 22252, 7, 22252, 8, 355, 20218, 62, 15908, 25]"
✅ Best Practice: Converts string paths to Path objects for consistency,"[26486, 227, 6705, 19939, 25, 1482, 24040, 4731, 13532, 284, 10644, 5563, 329, 15794]",0.5,611,best_practice,136,Converts string paths to Path objects for consistency,,611,,[]
"⚠️ SAST Risk (Low): Raises NotImplementedError for unsupported types, which could be unexpected","[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 7567, 2696, 1892, 3546, 1154, 12061, 12331, 329, 24222, 3858, 11, 543, 714, 307, 10059]",0.5,611,sast_risk,139,"Raises NotImplementedError for unsupported types, which could be unexpected",Low,611,,[]
🧠 ML Signal: Usage of file context management with 'with' statement,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 2393, 4732, 4542, 351, 705, 4480, 6, 2643]",0.5,611,ml_signal,139,Usage of file context management with 'with' statement,,611,,[]
