annotation,annotation_tokens,confidence,end_token,label,line,reason,start_token,text,tokens
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",0.5,8,best_practice,3,Grouping imports from the same module together improves readability.,0,"from sqlalchemy import Column, String","[6738, 44161, 282, 26599, 1330, 29201, 11, 10903]"
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",0.5,8,best_practice,5,Grouping imports from the same module together improves readability.,8,,[]
✅ Best Practice: Naming convention for base classes should be clear and descriptive.,"[26486, 227, 6705, 19939, 25, 399, 3723, 9831, 329, 2779, 6097, 815, 307, 1598, 290, 35644, 13]",0.5,8,best_practice,8,Naming convention for base classes should be clear and descriptive.,8,,[]
🧠 ML Signal: Use of decorators to register entities indicates a pattern for extensibility and modularity.,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 11705, 2024, 284, 7881, 12066, 9217, 257, 3912, 329, 1070, 641, 2247, 290, 26507, 414, 13]",0.5,8,ml_signal,11,Use of decorators to register entities indicates a pattern for extensibility and modularity.,8,,[]
"🧠 ML Signal: Inheritance from multiple classes, indicating a complex class hierarchy","[8582, 100, 254, 10373, 26484, 25, 47025, 42942, 422, 3294, 6097, 11, 12739, 257, 3716, 1398, 18911]",1.0,8,ml_signal,8,"Inheritance from multiple classes, indicating a complex class hierarchy",8,,[]
🧠 ML Signal: Use of SQLAlchemy ORM for database interaction,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 16363, 2348, 26599, 6375, 44, 329, 6831, 10375]",1.0,8,ml_signal,10,Use of SQLAlchemy ORM for database interaction,8,,[]
🧠 ML Signal: Definition of a database column with a specific string length,"[8582, 100, 254, 10373, 26484, 25, 30396, 286, 257, 6831, 5721, 351, 257, 2176, 4731, 4129]",1.0,16,ml_signal,12,Definition of a database column with a specific string length,8,#: 板块,"[2, 25, 10545, 251, 123, 161, 251, 245]"
"🧠 ML Signal: Inheritance from multiple classes, indicating a mix of behaviors and properties","[8582, 100, 254, 10373, 26484, 25, 47025, 42942, 422, 3294, 6097, 11, 12739, 257, 5022, 286, 14301, 290, 6608]",1.0,16,ml_signal,11,"Inheritance from multiple classes, indicating a mix of behaviors and properties",16,,[]
"🧠 ML Signal: Use of class attribute to define table name, common in ORM patterns","[8582, 100, 254, 10373, 26484, 25, 5765, 286, 1398, 11688, 284, 8160, 3084, 1438, 11, 2219, 287, 6375, 44, 7572]",1.0,27,ml_signal,13,"Use of class attribute to define table name, common in ORM patterns",16,"@register_entity(entity_type=""block"")","[31, 30238, 62, 26858, 7, 26858, 62, 4906, 2625, 9967, 4943]"
"🧠 ML Signal: Function call with specific parameters, indicating configuration or setup pattern","[8582, 100, 254, 10373, 26484, 25, 15553, 869, 351, 2176, 10007, 11, 12739, 8398, 393, 9058, 3912]",0.5,38,ml_signal,13,"Function call with specific parameters, indicating configuration or setup pattern",27,"@register_entity(entity_type=""block"")","[31, 30238, 62, 26858, 7, 26858, 62, 4906, 2625, 9967, 4943]"
✅ Best Practice: Use of __all__ to define public API of the module,"[26486, 227, 6705, 19939, 25, 5765, 286, 11593, 439, 834, 284, 8160, 1171, 7824, 286, 262, 8265]",1.0,49,best_practice,13,Use of __all__ to define public API of the module,38,"@register_entity(entity_type=""block"")","[31, 30238, 62, 26858, 7, 26858, 62, 4906, 2625, 9967, 4943]"
