annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Use a logger for consistent and configurable logging throughout the module.,"[26486, 227, 6705, 19939, 25, 5765, 257, 49706, 329, 6414, 290, 4566, 11970, 18931, 3690, 262, 8265, 13]",1.0,15,best_practice,8,Use a logger for consistent and configurable logging throughout the module.,,0,from zvt.recorders.consts import DEFAULT_HEADER,"[6738, 1976, 36540, 13, 8344, 6361, 13, 1102, 6448, 1330, 5550, 38865, 62, 37682, 1137]"
🧠 ML Signal: Hardcoded URLs can indicate a pattern of accessing specific web resources.,"[8582, 100, 254, 10373, 26484, 25, 6912, 40976, 32336, 460, 7603, 257, 3912, 286, 22534, 2176, 3992, 4133, 13]",0.5,28,ml_signal,11,Hardcoded URLs can indicate a pattern of accessing specific web resources.,,15,logger = logging.getLogger(__name__),"[6404, 1362, 796, 18931, 13, 1136, 11187, 1362, 7, 834, 3672, 834, 8]"
🧠 ML Signal: Hardcoded URLs can indicate a pattern of accessing specific web resources.,"[8582, 100, 254, 10373, 26484, 25, 6912, 40976, 32336, 460, 7603, 257, 3912, 286, 22534, 2176, 3992, 4133, 13]",0.5,28,ml_signal,14,Hardcoded URLs can indicate a pattern of accessing specific web resources.,,28,,[]
🧠 ML Signal: Mapping categories to specific codes can indicate a pattern of data categorization.,"[8582, 100, 254, 10373, 26484, 25, 337, 5912, 9376, 284, 2176, 12416, 460, 7603, 257, 3912, 286, 1366, 17851, 1634, 13]",0.5,60,ml_signal,17,Mapping categories to specific codes can indicate a pattern of data categorization.,,28,"index_category_map = {IndexCategory.scope: ""17"", IndexCategory.industry: ""18"", IndexCategory.style: ""19""}","[9630, 62, 22872, 62, 8899, 796, 1391, 15732, 27313, 13, 29982, 25, 366, 1558, 1600, 12901, 27313, 13, 23213, 563, 25, 366, 1507, 1600, 12901, 27313, 13, 7635, 25, 366, 1129, 20662]"
"⚠️ SAST Risk (Medium): Potential KeyError if ""data"" key is not present in the JSON response","[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 32480, 7383, 12331, 611, 366, 7890, 1, 1994, 318, 407, 1944, 287, 262, 19449, 2882]",1.0,73,sast_risk,11,"Potential KeyError if ""data"" key is not present in the JSON response",Medium,60,logger = logging.getLogger(__name__),"[6404, 1362, 796, 18931, 13, 1136, 11187, 1362, 7, 834, 3672, 834, 8]"
✅ Best Practice: Consider handling exceptions for robustness,"[26486, 227, 6705, 19939, 25, 12642, 9041, 13269, 329, 12373, 1108]",1.0,73,best_practice,12,Consider handling exceptions for robustness,,73,,[]
⚠️ SAST Risk (Medium): Raises HTTPError if the HTTP request returned an unsuccessful status code,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 7567, 2696, 14626, 12331, 611, 262, 14626, 2581, 4504, 281, 23993, 3722, 2438]",0.5,73,sast_risk,14,Raises HTTPError if the HTTP request returned an unsuccessful status code,Medium,73,,[]
🧠 ML Signal: Accessing JSON data from HTTP response,"[8582, 100, 254, 10373, 26484, 25, 8798, 278, 19449, 1366, 422, 14626, 2882]",0.5,73,ml_signal,16,Accessing JSON data from HTTP response,,73,,[]
🧠 ML Signal: Use of conditional logic to determine index_series based on index_type,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 26340, 9156, 284, 5004, 6376, 62, 25076, 1912, 319, 6376, 62, 4906]",0.5,102,ml_signal,15,Use of conditional logic to determine index_series based on index_type,,73,"url = ""https://www.csindex.com.cn/csindex-home/index-list/query-index-item""","[6371, 796, 366, 5450, 1378, 2503, 13, 6359, 9630, 13, 785, 13, 31522, 14, 6359, 9630, 12, 11195, 14, 9630, 12, 4868, 14, 22766, 12, 9630, 12, 9186, 1]"
🧠 ML Signal: Use of conditional logic to determine index_series based on index_type,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 26340, 9156, 284, 5004, 6376, 62, 25076, 1912, 319, 6376, 62, 4906]",0.5,102,ml_signal,18,Use of conditional logic to determine index_series based on index_type,,102,,[]
