annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
"✅ Best Practice: Grouping imports by standard, third-party, and local modules improves readability.","[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 416, 3210, 11, 2368, 12, 10608, 11, 290, 1957, 13103, 19575, 1100, 1799, 13]",1.0,0,best_practice,4,"Grouping imports by standard, third-party, and local modules improves readability.",,0,,[]
✅ Best Practice: Class should inherit from a base class to ensure consistent behavior and structure,"[26486, 227, 6705, 19939, 25, 5016, 815, 16955, 422, 257, 2779, 1398, 284, 4155, 6414, 4069, 290, 4645]",0.5,11,best_practice,9,Class should inherit from a base class to ensure consistent behavior and structure,,0,from zvt.contract.recorder import Recorder,"[6738, 1976, 36540, 13, 28484, 13, 8344, 2875, 1330, 3311, 2875]"
✅ Best Practice: Class variables should be defined at the top of the class for clarity,"[26486, 227, 6705, 19939, 25, 5016, 9633, 815, 307, 5447, 379, 262, 1353, 286, 262, 1398, 329, 16287]",0.5,37,best_practice,11,Class variables should be defined at the top of the class for clarity,,11,"from zvt.recorders.consts import DEFAULT_SH_HEADER, DEFAULT_SZ_HEADER","[6738, 1976, 36540, 13, 8344, 6361, 13, 1102, 6448, 1330, 5550, 38865, 62, 9693, 62, 37682, 1137, 11, 5550, 38865, 62, 50, 57, 62, 37682, 1137]"
🧠 ML Signal: Hardcoded provider name could be used to identify data source patterns,"[8582, 100, 254, 10373, 26484, 25, 6912, 40976, 10131, 1438, 714, 307, 973, 284, 5911, 1366, 2723, 7572]",0.5,37,ml_signal,13,Hardcoded provider name could be used to identify data source patterns,,37,,[]
⚠️ SAST Risk (Low): Hardcoded URL may lead to maintenance issues if the URL changes,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 6912, 40976, 10289, 743, 1085, 284, 9262, 2428, 611, 262, 10289, 2458]",0.5,37,sast_risk,14,Hardcoded URL may lead to maintenance issues if the URL changes,Low,37,,[]
⚠️ SAST Risk (Medium): Hardcoded URL can lead to security issues if the endpoint changes or is deprecated.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 6912, 40976, 10289, 460, 1085, 284, 2324, 2428, 611, 262, 36123, 2458, 393, 318, 39224, 13]",0.5,46,sast_risk,17,Hardcoded URL can lead to security issues if the endpoint changes or is deprecated.,Medium,37,"    provider = ""exchange""","[220, 220, 220, 10131, 796, 366, 1069, 3803, 1]"
"⚠️ SAST Risk (Low): No error handling for the HTTP request, which may lead to unhandled exceptions.","[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 1400, 4049, 9041, 329, 262, 14626, 2581, 11, 543, 743, 1085, 284, 555, 38788, 13269, 13]",0.5,76,sast_risk,19,"No error handling for the HTTP request, which may lead to unhandled exceptions.",Low,46,"    original_page_url = ""http://www.sse.com.cn/assortment/stock/list/share/""","[220, 220, 220, 2656, 62, 7700, 62, 6371, 796, 366, 4023, 1378, 2503, 13, 82, 325, 13, 785, 13, 31522, 14, 562, 33920, 14, 13578, 14, 4868, 14, 20077, 30487]"
🧠 ML Signal: Usage of requests.get to fetch data from a URL.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 7007, 13, 1136, 284, 21207, 1366, 422, 257, 10289, 13]",0.5,106,ml_signal,19,Usage of requests.get to fetch data from a URL.,,76,"    original_page_url = ""http://www.sse.com.cn/assortment/stock/list/share/""","[220, 220, 220, 2656, 62, 7700, 62, 6371, 796, 366, 4023, 1378, 2503, 13, 82, 325, 13, 785, 13, 31522, 14, 562, 33920, 14, 13578, 14, 4868, 14, 20077, 30487]"
🧠 ML Signal: Method call with specific parameters indicating a pattern of downloading stock lists.,"[8582, 100, 254, 10373, 26484, 25, 11789, 869, 351, 2176, 10007, 12739, 257, 3912, 286, 22023, 4283, 8341, 13]",0.5,116,ml_signal,22,Method call with specific parameters indicating a pattern of downloading stock lists.,,106,        url = (,"[220, 220, 220, 220, 220, 220, 220, 19016, 796, 357]"
⚠️ SAST Risk (Medium): Hardcoded URL can lead to security issues if the endpoint changes or is deprecated.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 6912, 40976, 10289, 460, 1085, 284, 2324, 2428, 611, 262, 36123, 2458, 393, 318, 39224, 13]",0.5,139,sast_risk,26,Hardcoded URL can lead to security issues if the endpoint changes or is deprecated.,Medium,116,"        self.download_stock_list(response=resp, exchange=""sh"")","[220, 220, 220, 220, 220, 220, 220, 2116, 13, 15002, 62, 13578, 62, 4868, 7, 26209, 28, 4363, 11, 5163, 2625, 1477, 4943]"
"⚠️ SAST Risk (Low): No error handling for the HTTP request, which may lead to unhandled exceptions.","[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 1400, 4049, 9041, 329, 262, 14626, 2581, 11, 543, 743, 1085, 284, 555, 38788, 13269, 13]",0.5,149,sast_risk,28,"No error handling for the HTTP request, which may lead to unhandled exceptions.",Low,139,        url = (,"[220, 220, 220, 220, 220, 220, 220, 19016, 796, 357]"
